Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,20.65,20.64,20.47,20.81,0.00999999999999801
2019-06-25 00:10:00,20.65,20.48,20.25945,20.81,0.16999999999999815
2019-06-25 00:20:00,20.32,20.425,20.25,20.61,0.10500000000000043
2019-06-25 00:30:00,20.34,20.3,20.14,20.46,0.03999999999999915
2019-06-25 00:40:00,20.17,20.195,20.03095,20.4543,0.02499999999999858
2019-06-25 00:50:00,20.04,20.110000000000003,19.88,20.3,0.07000000000000384
2019-06-25 01:00:00,19.94,20.025000000000002,19.9,20.1837,0.08500000000000085
2019-06-25 01:10:00,19.91,19.89,19.65,20.18,0.019999999999999574
2019-06-25 01:20:00,19.87,19.8,19.621000000000002,19.89,0.07000000000000028
2019-06-25 01:30:00,19.86,19.65,19.49,20.13975,0.21000000000000085
2019-06-25 01:40:00,19.7,19.575,19.38,19.73,0.125
2019-06-25 01:50:00,19.45,19.5,19.33055,19.71,0.05000000000000071
2019-06-25 02:00:00,19.25,19.29,19.08,19.46,0.03999999999999915
2019-06-25 02:10:00,19.22,19.12,18.89,19.29,0.09999999999999787
2019-06-25 02:20:00,19.04,19.05,18.73,19.18,0.010000000000001563
2019-06-25 02:30:00,18.95,18.95,18.80125,19.25,0.0
2019-06-25 02:40:00,18.7,18.87,18.6,19.0556,0.1700000000000017
2019-06-25 02:50:00,18.86,18.7,18.56,19.14,0.16000000000000014
2019-06-25 03:00:00,18.54,18.634999999999998,18.42,18.76,0.09499999999999886
2019-06-25 03:10:00,18.48,18.56,18.4202,18.8892,0.0799999999999983
2019-06-25 03:20:00,18.55,18.51,18.27,18.85,0.03999999999999915
2019-06-25 03:30:00,18.6,18.43,18.1863,18.49,0.1700000000000017
2019-06-25 03:40:00,18.34,18.35,18.11735,18.41,0.010000000000001563
2019-06-25 03:50:00,18.22,18.32,18.11,18.4096,0.10000000000000142
2019-06-25 04:00:00,18.24,18.24,18.09,18.35,0.0
2019-06-25 04:10:00,18.21,18.25,18.08,18.34,0.03999999999999915
2019-06-25 04:20:00,18.25,18.15,18.01,18.2892,0.10000000000000142
2019-06-25 04:30:00,18.27,18.12,18.01,18.29,0.14999999999999858
2019-06-25 04:40:00,18.18,18.11,18.00015,18.24,0.07000000000000028
2019-06-25 04:50:00,18.07,18.03,17.86,18.44,0.03999999999999915
2019-06-25 05:00:00,18.05,18.020000000000003,17.86,18.44,0.029999999999997584
2019-06-25 05:10:00,17.96,17.87,17.7,18.01,0.08999999999999986
2019-06-25 05:20:00,17.8,17.87,17.62375,17.97,0.07000000000000028
2019-06-25 05:30:00,17.61,17.65,17.24,17.9289,0.03999999999999915
2019-06-25 05:40:00,17.59,17.67,17.24,17.91,0.08000000000000185
2019-06-25 05:50:00,17.65,17.8,17.62,18.01,0.15000000000000213
2019-06-25 06:00:00,17.68,17.76,17.62,18.088,0.08000000000000185
2019-06-25 06:10:00,17.94,18.12,18.04,18.2773,0.17999999999999972
2019-06-25 06:20:00,18.42,18.46,18.28,19.02,0.03999999999999915
2019-06-25 06:30:00,19.18,18.76,18.53,18.81,0.41999999999999815
2019-06-25 06:40:00,19.5,19.14,18.77,19.42,0.35999999999999943
2019-06-25 06:50:00,19.39,19.585,19.24,19.98,0.19500000000000028
2019-06-25 07:00:00,19.46,19.97,19.77,20.33,0.509999999999998
2019-06-25 07:10:00,20.36,20.555,20.03,20.69,0.19500000000000028
2019-06-25 07:20:00,21.39,21.13,20.8913,21.474800000000002,0.26000000000000156
2019-06-25 07:30:00,21.73,21.58,21.243,22.031600000000005,0.15000000000000213
2019-06-25 07:40:00,22.39,22.16,21.87,22.43,0.23000000000000043
2019-06-25 07:50:00,22.94,22.825,22.5413,23.5,0.11500000000000199
2019-06-25 08:00:00,23.01,23.275,23.07,23.67,0.264999999999997
2019-06-25 08:10:00,23.52,23.85,23.33,24.06895,0.33000000000000185
2019-06-25 08:20:00,24.8,24.445,24.0737,25.02,0.3550000000000004
2019-06-25 08:30:00,24.48,24.89,24.59,25.55945,0.41000000000000014
2019-06-25 08:40:00,25.76,25.48,24.85,26.01,0.28000000000000114
2019-06-25 08:50:00,26.33,26.08,25.51,26.8186,0.25
2019-06-25 09:00:00,26.45,26.3,25.72,27.44,0.14999999999999858
2019-06-25 09:10:00,26.59,26.564999999999998,26.06,27.01,0.02500000000000213
2019-06-25 09:20:00,26.88,26.66,26.0361,27.19,0.21999999999999886
2019-06-25 09:30:00,27.06,27.05,26.34,27.97,0.00999999999999801
2019-06-25 09:40:00,26.26,27.049999999999997,26.57,27.59,0.7899999999999956
2019-06-25 09:50:00,26.86,27.265,26.7815,27.87,0.40500000000000114
2019-06-25 10:00:00,27.98,27.605,26.64,28.2589,0.375
2019-06-25 10:10:00,27.09,27.745000000000005,26.97,28.611900000000002,0.6550000000000047
2019-06-25 10:20:00,28.51,28.14,27.526,29.108,0.370000000000001
2019-06-25 10:30:00,28.38,28.355,27.59,29.15745,0.02499999999999858
2019-06-25 10:40:00,29.41,28.615,28.1491,29.67,0.7950000000000017
2019-06-25 10:50:00,27.95,28.96,28.28,29.861749999999997,1.0100000000000016
2019-06-25 11:00:00,29.25,29.36,28.6736,29.924599999999998,0.10999999999999943
2019-06-25 11:10:00,29.26,29.38,28.63,29.827399999999997,0.11999999999999744
2019-06-25 11:20:00,29.54,29.58,29.112199999999998,30.13,0.03999999999999915
2019-06-25 11:30:00,30.19,30.125,29.59,30.69,0.06500000000000128
2019-06-25 11:40:00,30.47,30.44,29.739700000000003,31.2808,0.029999999999997584
2019-06-25 11:50:00,30.86,30.695,30.171400000000002,31.4186,0.16499999999999915
2019-06-25 12:00:00,30.85,31.14,30.2788,32.01,0.28999999999999915
2019-06-25 12:10:00,31.7,31.02,30.348,31.52,0.6799999999999997
2019-06-25 12:20:00,31.53,31.17,30.6404,31.774900000000002,0.35999999999999943
