Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,21.92,21.9,21.74,22.18625,0.020000000000003126
2019-06-25 00:10:00,21.87,21.8,21.64,22.0,0.07000000000000028
2019-06-25 00:20:00,21.4,21.71,21.52035,21.95,0.3100000000000023
2019-06-25 00:30:00,21.81,21.71,21.520699999999998,22.1323,0.09999999999999787
2019-06-25 00:40:00,21.63,21.7,21.42,21.89,0.07000000000000028
2019-06-25 00:50:00,21.68,21.56,21.25,21.7998,0.120000000000001
2019-06-25 01:00:00,21.68,21.5,21.25,21.8,0.17999999999999972
2019-06-25 01:10:00,21.67,21.42,21.24375,21.66,0.25
2019-06-25 01:20:00,21.42,21.36,21.25,21.54,0.060000000000002274
2019-06-25 01:30:00,21.1,21.2,20.89,21.56,0.09999999999999787
2019-06-25 01:40:00,21.02,21.13,20.924400000000002,21.35,0.10999999999999943
2019-06-25 01:50:00,20.99,20.97,20.72,21.25,0.019999999999999574
2019-06-25 02:00:00,20.85,20.78,20.6615,21.0185,0.07000000000000028
2019-06-25 02:10:00,20.74,20.69,20.54,20.92,0.04999999999999716
2019-06-25 02:20:00,20.55,20.64,20.37,20.89,0.08999999999999986
2019-06-25 02:30:00,20.44,20.54,20.3424,20.64,0.09999999999999787
2019-06-25 02:40:00,20.48,20.42,20.13,20.62595,0.05999999999999872
2019-06-25 02:50:00,20.48,20.32,20.07,20.5,0.16000000000000014
2019-06-25 03:00:00,20.31,20.22,19.85,20.47,0.08999999999999986
2019-06-25 03:10:00,20.23,20.11,19.8419,20.362899999999996,0.120000000000001
2019-06-25 03:20:00,20.09,20.1,19.84,20.3,0.010000000000001563
2019-06-25 03:30:00,19.8,20.01,19.83,20.2968,0.21000000000000085
2019-06-25 03:40:00,19.79,19.83,19.65,20.29,0.03999999999999915
2019-06-25 03:50:00,19.87,19.72,19.3966,20.049400000000002,0.15000000000000213
2019-06-25 04:00:00,19.52,19.58,19.35,19.877399999999998,0.05999999999999872
2019-06-25 04:10:00,19.53,19.38,19.10115,19.59735,0.15000000000000213
2019-06-25 04:20:00,19.45,19.12,19.03,19.41,0.3299999999999983
2019-06-25 04:30:00,19.25,18.9,18.69735,19.35,0.3500000000000014
2019-06-25 04:40:00,18.25,18.74,18.52,18.93,0.48999999999999844
2019-06-25 04:50:00,17.96,18.44,18.27,18.7424,0.4800000000000004
2019-06-25 05:00:00,18.19,18.245,17.95,18.52,0.054999999999999716
2019-06-25 05:10:00,18.01,18.095,17.8811,18.31,0.0849999999999973
2019-06-25 05:20:00,18.08,18.07,17.8813,18.31,0.00999999999999801
2019-06-25 05:30:00,17.99,18.095,17.89,18.45,0.10500000000000043
2019-06-25 05:40:00,18.22,18.07,17.89,18.304,0.14999999999999858
2019-06-25 05:50:00,18.22,17.98,17.83,18.19,0.23999999999999844
2019-06-25 06:00:00,18.17,18.05,17.89095,18.297150000000002,0.120000000000001
2019-06-25 06:10:00,18.16,18.07,17.9132,18.3,0.08999999999999986
2019-06-25 06:20:00,17.96,18.17,18.07,18.42,0.21000000000000085
2019-06-25 06:30:00,18.25,18.42,18.21,18.75,0.1700000000000017
2019-06-25 06:40:00,18.46,18.72,18.49,18.93,0.259999999999998
2019-06-25 06:50:00,18.87,18.875,18.69,19.35,0.004999999999999005
2019-06-25 07:00:00,19.38,19.24,18.91,19.44,0.14000000000000057
2019-06-25 07:10:00,19.7,19.44,19.04,19.7871,0.259999999999998
2019-06-25 07:20:00,19.87,19.785,19.39,20.0483,0.08500000000000085
2019-06-25 07:30:00,19.93,19.89,19.76,20.22,0.03999999999999915
2019-06-25 07:40:00,20.07,20.1,19.85,20.34,0.030000000000001137
2019-06-25 07:50:00,20.38,20.34,20.0814,20.68,0.03999999999999915
2019-06-25 08:00:00,20.47,20.56,20.244249999999997,20.78,0.08999999999999986
2019-06-25 08:10:00,20.98,20.78,20.255399999999998,21.17,0.1999999999999993
2019-06-25 08:20:00,20.98,21.11,20.5384,21.467200000000002,0.129999999999999
2019-06-25 08:30:00,21.37,21.49,21.23,21.79,0.11999999999999744
2019-06-25 08:40:00,21.77,22.0,21.65,22.58,0.23000000000000043
2019-06-25 08:50:00,22.43,22.31,22.083,22.62,0.120000000000001
2019-06-25 09:00:00,22.76,22.685000000000002,22.2778,23.42,0.07499999999999929
2019-06-25 09:10:00,23.49,23.145,22.55,23.37,0.34499999999999886
2019-06-25 09:20:00,23.38,23.545,23.1,23.93,0.1650000000000027
2019-06-25 09:30:00,23.45,23.91,23.3679,24.362949999999998,0.46000000000000085
2019-06-25 09:40:00,24.7,24.06,23.69,24.39,0.6400000000000006
2019-06-25 09:50:00,24.49,24.34,23.88,25.66,0.14999999999999858
2019-06-25 10:00:00,24.63,24.83,24.34,25.384999999999994,0.1999999999999993
2019-06-25 10:10:00,25.14,25.115000000000002,24.48,25.6164,0.02499999999999858
2019-06-25 10:20:00,25.91,25.44,24.66,25.838449999999998,0.46999999999999886
2019-06-25 10:30:00,25.76,25.579999999999995,24.81,25.98,0.18000000000000682
2019-06-25 10:40:00,26.34,26.055,25.42,26.56,0.28500000000000014
2019-06-25 10:50:00,26.42,26.549999999999997,26.0491,27.46,0.12999999999999545
2019-06-25 11:00:00,26.93,26.93,26.57,27.3085,0.0
2019-06-25 11:10:00,26.88,27.08,26.826449999999998,27.6012,0.1999999999999993
2019-06-25 11:20:00,27.56,27.33,26.69125,27.909250000000004,0.23000000000000043
2019-06-25 11:30:00,28.5,27.7,27.03295,28.39,0.8000000000000007
2019-06-25 11:40:00,28.28,28.11,26.87,28.83,0.1700000000000017
2019-06-25 11:50:00,27.74,28.38,27.72,29.03,0.6400000000000006
2019-06-25 12:00:00,28.96,28.63,27.8006,29.29,0.33000000000000185
2019-06-25 12:10:00,28.38,28.42,27.64,29.0961,0.0400000000000027
2019-06-25 12:20:00,28.49,28.78,27.80255,29.52225,0.2900000000000027
2019-06-25 12:30:00,29.23,29.544999999999998,28.605,30.0885,0.3149999999999977
2019-06-25 12:40:00,30.13,29.595,28.7,30.426249999999996,0.5350000000000001
2019-06-25 12:50:00,30.88,29.57,27.7,30.25,1.3099999999999987
2019-06-25 13:00:00,30.27,30.025000000000002,29.47,30.9234,0.24499999999999744
2019-06-25 13:10:00,29.59,30.44,28.76,31.163799999999988,0.8500000000000014
2019-06-25 13:20:00,30.26,30.97,30.05,31.57,0.7099999999999973
2019-06-25 13:30:00,31.48,30.975,29.43,31.5691,0.504999999999999
2019-06-25 13:40:00,31.26,31.1,29.43,31.639649999999996,0.16000000000000014
2019-06-25 13:50:00,32.88,31.45,30.45,31.99,1.4300000000000033
2019-06-25 14:00:00,31.97,31.88,30.78,32.3,0.08999999999999986
2019-06-25 14:10:00,30.88,31.58,30.68485,32.2934,0.6999999999999993
2019-06-25 14:20:00,31.25,31.92,30.8259,32.4546,0.6700000000000017
2019-06-25 14:30:00,32.19,31.54,30.76,32.18,0.6499999999999986
2019-06-25 14:40:00,30.92,31.5,30.7904,32.257149999999996,0.5799999999999983
2019-06-25 14:50:00,31.94,31.794999999999998,31.3258,32.488550000000004,0.14500000000000313
2019-06-25 15:00:00,31.72,32.01,30.796400000000002,32.9144,0.28999999999999915
2019-06-25 15:10:00,32.33,32.154999999999994,31.2003,34.08,0.17500000000000426
2019-06-25 15:20:00,32.55,32.18,31.648,33.21,0.36999999999999744
2019-06-25 15:30:00,32.95,32.395,31.77,33.4233,0.5549999999999997
2019-06-25 15:40:00,32.51,32.52,31.162,33.48,0.010000000000005116
2019-06-25 15:50:00,33.0,32.66,31.708000000000002,33.48,0.3400000000000034
2019-06-25 16:00:00,32.33,32.74,32.027499999999996,33.46,0.4100000000000037
2019-06-25 16:10:00,32.44,32.93,32.14,33.46,0.490000000000002
2019-06-25 16:20:00,32.95,32.95,31.72,33.775999999999996,0.0
2019-06-25 16:30:00,33.46,33.125,32.0,33.687599999999996,0.33500000000000085
2019-06-25 16:40:00,33.7,33.56,32.82205,34.0,0.14000000000000057
2019-06-25 16:50:00,33.57,33.695,32.89,34.26,0.125
2019-06-25 17:00:00,34.17,34.13,31.95,34.524699999999996,0.03999999999999915
2019-06-25 17:10:00,33.53,33.87,33.07,34.55,0.3399999999999963
2019-06-25 17:20:00,33.79,34.07,31.95,34.59625,0.28000000000000114
2019-06-25 17:30:00,33.76,34.13,31.95,34.54,0.37000000000000455
2019-06-25 17:40:00,34.53,33.55,33.052,34.38,0.980000000000004
2019-06-25 17:50:00,33.26,33.42,32.125800000000005,34.01595,0.1600000000000037
2019-06-25 18:00:00,32.97,33.15,32.0738,33.86,0.17999999999999972
2019-06-25 18:10:00,32.64,32.88,31.72,33.64,0.240000000000002
2019-06-25 18:20:00,32.63,32.6,31.7217,33.48,0.030000000000001137
2019-06-25 18:30:00,32.43,32.425000000000004,31.2074,32.94,0.0049999999999954525
2019-06-25 18:40:00,32.16,32.025000000000006,30.76,32.4979,0.1349999999999909
2019-06-25 18:50:00,31.72,31.7,31.043300000000002,32.3155,0.019999999999999574
2019-06-25 19:00:00,31.56,31.52,30.16,32.25245,0.03999999999999915
2019-06-25 19:10:00,31.21,31.12,30.31,31.871249999999996,0.08999999999999986
2019-06-25 19:20:00,30.97,30.685000000000002,30.17,31.33,0.2849999999999966
2019-06-25 19:30:00,30.45,30.39,29.71,30.74,0.05999999999999872
2019-06-25 19:40:00,29.95,29.96,28.94465,30.71,0.010000000000001563
2019-06-25 19:50:00,29.28,29.56,29.26,30.47,0.2799999999999976
2019-06-25 20:00:00,29.18,29.105,28.8087,29.87,0.07499999999999929
2019-06-25 20:10:00,28.73,28.76,27.929000000000002,29.0375,0.030000000000001137
2019-06-25 20:20:00,28.35,28.415000000000003,28.03,29.38,0.06500000000000128
2019-06-25 20:30:00,28.03,28.095000000000002,27.3936,28.3783,0.06500000000000128
2019-06-25 20:40:00,27.95,27.69,27.1228,28.41,0.259999999999998
2019-06-25 20:50:00,27.4,27.4,27.04,27.9486,0.0
2019-06-25 21:00:00,26.89,26.99,26.77,27.58,0.09999999999999787
2019-06-25 21:10:00,26.66,26.76,26.34825,27.39,0.10000000000000142
2019-06-25 21:20:00,26.45,26.35,26.00175,26.832299999999996,0.09999999999999787
2019-06-25 21:30:00,25.73,26.105,25.577199999999998,26.550699999999996,0.375
2019-06-25 21:40:00,25.87,25.785,25.26,26.07,0.08500000000000085
2019-06-25 21:50:00,25.52,25.49,25.37,25.9983,0.030000000000001137
2019-06-25 22:00:00,25.14,25.2,25.0136,25.38,0.05999999999999872
2019-06-25 22:10:00,24.97,25.04,24.67,25.28,0.07000000000000028
2019-06-25 22:20:00,24.78,24.82,24.450599999999998,25.19,0.03999999999999915
2019-06-25 22:30:00,24.3,24.52,24.2521,24.809299999999997,0.21999999999999886
2019-06-25 22:40:00,24.46,24.43,24.2208,24.9388,0.030000000000001137
2019-06-25 22:50:00,24.24,24.29,24.07225,25.196749999999994,0.05000000000000071
2019-06-25 23:00:00,24.15,24.25,24.05,24.53895,0.10000000000000142
2019-06-25 23:10:00,23.84,24.229999999999997,24.07,24.524399999999996,0.389999999999997
2019-06-25 23:20:00,24.46,24.23,24.07045,24.39,0.23000000000000043
2019-06-25 23:30:00,24.39,24.13,23.8,24.37,0.26000000000000156
2019-06-25 23:40:00,24.16,23.915000000000003,23.77,24.18,0.24499999999999744
2019-06-25 23:50:00,24.22,23.855,23.71,23.96,0.36499999999999844
2019-06-26 00:00:00,23.67,23.6,23.012999999999998,23.93,0.07000000000000028
2019-06-26 00:10:00,22.98,23.395,23.29,23.69,0.41499999999999915
2019-06-26 00:20:00,22.89,23.08,22.8723,23.4,0.18999999999999773
2019-06-26 00:30:00,23.0,22.849999999999998,22.57,23.13,0.15000000000000213
2019-06-26 00:40:00,22.66,22.584999999999997,22.1696,22.78,0.07500000000000284
2019-06-26 00:50:00,22.15,22.43,22.04,22.59935,0.28000000000000114
2019-06-26 01:00:00,22.26,22.21,21.98,22.55855,0.05000000000000071
2019-06-26 01:10:00,22.04,21.97,21.72,22.11,0.07000000000000028
2019-06-26 01:20:00,21.81,21.8,21.662,22.16,0.00999999999999801
2019-06-26 01:30:00,21.51,21.7,21.5,22.03,0.18999999999999773
2019-06-26 01:40:00,21.53,21.5,21.28,22.1,0.030000000000001137
2019-06-26 01:50:00,21.37,21.42,21.134,21.651600000000002,0.05000000000000071
2019-06-26 02:00:00,21.42,21.34,21.26,21.5,0.08000000000000185
2019-06-26 02:10:00,21.24,21.37,21.20145,21.53275,0.13000000000000256
2019-06-26 02:20:00,21.28,21.33,21.162,21.535999999999998,0.04999999999999716
2019-06-26 02:30:00,21.29,21.26,21.01,21.56,0.029999999999997584
2019-06-26 02:40:00,21.24,21.2,21.056,21.5,0.03999999999999915
2019-06-26 02:50:00,21.29,21.08,20.84,21.27,0.21000000000000085
