Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,22.12,21.9,21.6356,22.0672,0.22000000000000242
2019-06-25 00:10:00,21.8,21.76,21.49,22.01,0.03999999999999915
2019-06-25 00:20:00,21.74,21.69,21.41,22.03,0.04999999999999716
2019-06-25 00:30:00,21.41,21.65,21.410800000000002,22.027199999999997,0.23999999999999844
2019-06-25 00:40:00,21.19,21.549999999999997,21.2709,22.06,0.3599999999999959
2019-06-25 00:50:00,21.39,21.39,21.2408,21.5298,0.0
2019-06-25 01:00:00,21.43,21.34,21.21,21.58,0.08999999999999986
2019-06-25 01:10:00,21.56,21.33,21.21,21.49,0.23000000000000043
2019-06-25 01:20:00,21.33,21.31,21.16575,21.54,0.019999999999999574
2019-06-25 01:30:00,21.24,21.27,21.05,21.41,0.030000000000001137
2019-06-25 01:40:00,21.22,21.2,21.03,21.33,0.019999999999999574
2019-06-25 01:50:00,21.02,21.07,20.9306,21.22,0.05000000000000071
2019-06-25 02:00:00,21.08,21.035,20.87,21.4,0.04499999999999815
2019-06-25 02:10:00,20.88,20.93,20.77105,21.13,0.05000000000000071
2019-06-25 02:20:00,20.95,20.9,20.65,21.16,0.05000000000000071
2019-06-25 02:30:00,20.98,20.86,20.66225,21.0185,0.120000000000001
2019-06-25 02:40:00,20.76,20.7,20.55,20.8888,0.060000000000002274
2019-06-25 02:50:00,20.38,20.584999999999997,20.5,20.76,0.2049999999999983
2019-06-25 03:00:00,20.47,20.5,20.31,20.81,0.030000000000001137
2019-06-25 03:10:00,20.4,20.42,20.07,20.56,0.020000000000003126
2019-06-25 03:20:00,20.24,20.25,19.928800000000003,20.4968,0.010000000000001563
2019-06-25 03:30:00,20.28,20.09,19.67,20.37,0.19000000000000128
2019-06-25 03:40:00,20.08,20.07,19.9908,20.2892,0.00999999999999801
2019-06-25 03:50:00,19.88,19.99,19.830499999999997,20.18,0.10999999999999943
2019-06-25 04:00:00,19.88,19.92,19.79,20.29,0.0400000000000027
2019-06-25 04:10:00,19.79,19.72,19.621000000000002,20.05,0.07000000000000028
2019-06-25 04:20:00,19.53,19.68,19.49,20.02,0.14999999999999858
2019-06-25 04:30:00,19.62,19.7,19.53,19.86,0.0799999999999983
2019-06-25 04:40:00,19.73,19.64,19.46,19.88,0.08999999999999986
2019-06-25 04:50:00,19.59,19.54,19.2915,19.7085,0.05000000000000071
2019-06-25 05:00:00,19.57,19.47,19.261400000000002,19.65,0.10000000000000142
2019-06-25 05:10:00,19.32,19.345,19.1153,19.5,0.02499999999999858
2019-06-25 05:20:00,19.25,19.18,19.0505,19.42,0.07000000000000028
2019-06-25 05:30:00,18.94,19.06,18.97,19.22,0.11999999999999744
2019-06-25 05:40:00,18.83,18.97,18.84,19.16,0.14000000000000057
2019-06-25 05:50:00,18.95,18.79,18.7,19.1,0.16000000000000014
2019-06-25 06:00:00,18.71,18.74,18.56,19.18,0.029999999999997584
2019-06-25 06:10:00,18.84,18.81,18.5901,19.18,0.030000000000001137
2019-06-25 06:20:00,18.79,18.715,18.51,19.18,0.07499999999999929
2019-06-25 06:30:00,18.76,18.82,18.6607,18.985799999999998,0.05999999999999872
2019-06-25 06:40:00,18.79,18.95,18.73,19.09,0.16000000000000014
2019-06-25 06:50:00,19.09,18.98,18.82,19.13,0.10999999999999943
2019-06-25 07:00:00,19.2,19.14,18.94,19.27,0.05999999999999872
2019-06-25 07:10:00,19.25,19.235,18.9478,19.43805,0.015000000000000568
2019-06-25 07:20:00,19.38,19.49,19.1,19.98,0.10999999999999943
