Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,21.35,21.44,21.29,21.76,0.08999999999999986
2019-06-25 00:15:00,21.46,21.42,21.220699999999997,21.67,0.03999999999999915
2019-06-25 00:25:00,21.55,21.365000000000002,21.23,21.59,0.18499999999999872
2019-06-25 00:35:00,21.55,21.36,21.21,21.45,0.19000000000000128
2019-06-25 00:45:00,21.44,21.29,21.0932,21.5236,0.15000000000000213
2019-06-25 00:55:00,21.12,21.2,20.94,21.3685,0.0799999999999983
2019-06-25 01:05:00,21.05,21.015,20.78,21.24,0.03500000000000014
2019-06-25 01:15:00,20.97,20.91,20.7018,21.0973,0.05999999999999872
2019-06-25 01:25:00,20.7,20.685,20.48,20.85,0.015000000000000568
2019-06-25 01:35:00,20.47,20.54,20.34,20.69,0.07000000000000028
2019-06-25 01:45:00,20.25,20.405,20.27,20.64,0.15500000000000114
2019-06-25 01:55:00,20.21,20.36,20.13,20.51,0.14999999999999858
2019-06-25 02:05:00,20.18,20.18,19.92,20.36,0.0
2019-06-25 02:15:00,20.24,20.22,19.9324,20.46,0.019999999999999574
2019-06-25 02:25:00,20.19,20.12,20.0,20.29,0.07000000000000028
2019-06-25 02:35:00,20.12,20.03,19.891000000000002,20.3,0.08999999999999986
2019-06-25 02:45:00,20.01,19.994999999999997,19.65,20.18,0.015000000000004121
2019-06-25 02:55:00,19.84,19.85,19.6,19.93,0.010000000000001563
2019-06-25 03:05:00,19.62,19.75,19.4055,20.022100000000002,0.129999999999999
2019-06-25 03:15:00,19.63,19.55,19.4401,19.8393,0.0799999999999983
2019-06-25 03:25:00,19.44,19.45,19.18,19.71,0.00999999999999801
2019-06-25 03:35:00,19.36,19.42,19.15,19.63,0.060000000000002274
2019-06-25 03:45:00,19.22,19.35,19.15,19.53,0.13000000000000256
2019-06-25 03:55:00,19.12,19.21,18.89,19.41,0.08999999999999986
2019-06-25 04:05:00,19.21,19.12,18.86,19.41,0.08999999999999986
2019-06-25 04:15:00,19.15,19.03,18.86,19.18,0.11999999999999744
2019-06-25 04:25:00,18.97,18.87,18.65,19.13,0.09999999999999787
2019-06-25 04:35:00,18.77,18.64,18.36,18.97265,0.129999999999999
2019-06-25 04:45:00,18.49,18.53,18.36,18.69,0.0400000000000027
2019-06-25 04:55:00,18.31,18.47,18.38,18.66,0.16000000000000014
2019-06-25 05:05:00,18.19,18.265,18.09065,18.5122,0.07499999999999929
2019-06-25 05:15:00,18.15,18.23,18.01,18.27,0.08000000000000185
2019-06-25 05:25:00,18.17,18.18,17.956,18.287,0.00999999999999801
2019-06-25 05:35:00,18.07,18.18,18.01,18.29,0.10999999999999943
2019-06-25 05:45:00,18.07,18.11,17.9508,18.27,0.03999999999999915
2019-06-25 05:55:00,18.07,18.195,17.94,18.28,0.125
2019-06-25 06:05:00,18.36,18.36,18.1542,18.75,0.0
2019-06-25 06:15:00,18.49,18.55,18.25,18.73,0.060000000000002274
2019-06-25 06:25:00,18.76,18.895,18.79,19.07,0.134999999999998
2019-06-25 06:35:00,19.12,19.12,18.91,19.51,0.0
2019-06-25 06:45:00,19.63,19.57,19.34,19.76945,0.05999999999999872
2019-06-25 06:55:00,20.19,19.96,19.61255,20.27,0.23000000000000043
2019-06-25 07:05:00,20.45,20.32,20.17075,20.56925,0.129999999999999
2019-06-25 07:15:00,20.79,20.675,20.5,20.92,0.11499999999999844
2019-06-25 07:25:00,21.27,21.15,20.93,21.44,0.120000000000001
2019-06-25 07:35:00,21.21,21.235,21.02,21.64,0.02499999999999858
2019-06-25 07:45:00,21.53,21.63,21.424200000000003,22.01,0.09999999999999787
2019-06-25 07:55:00,22.24,21.79,21.52225,22.05,0.4499999999999993
2019-06-25 08:05:00,21.96,22.01,21.686,22.334,0.05000000000000071
2019-06-25 08:15:00,22.11,22.53,22.03,22.86,0.4200000000000017
2019-06-25 08:25:00,22.52,22.93,22.3263,23.22,0.41000000000000014
2019-06-25 08:35:00,23.16,23.34,22.77,23.952949999999998,0.17999999999999972
2019-06-25 08:45:00,23.94,23.59,23.29,23.917499999999997,0.3500000000000014
2019-06-25 08:55:00,24.74,24.02,23.69,24.4691,0.7199999999999989
2019-06-25 09:05:00,24.74,24.43,24.07,25.0,0.3099999999999987
2019-06-25 09:15:00,24.32,24.69,24.17,25.371000000000006,0.370000000000001
2019-06-25 09:25:00,24.7,24.785,24.2,25.4452,0.08500000000000085
2019-06-25 09:35:00,25.06,25.275,24.5762,25.63,0.21499999999999986
2019-06-25 09:45:00,25.84,25.43,24.864,26.5286,0.41000000000000014
2019-06-25 09:55:00,25.66,25.89,24.768800000000002,26.8179,0.23000000000000043
2019-06-25 10:05:00,26.32,26.31,25.72,26.921,0.010000000000001563
