Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,20.86,20.85,20.61,21.03,0.00999999999999801
2019-06-25 00:10:00,20.59,20.76,20.64,20.91,0.1700000000000017
2019-06-25 00:20:00,20.59,20.65,20.51,20.76,0.05999999999999872
2019-06-25 00:30:00,20.62,20.51,20.42,20.79,0.10999999999999943
2019-06-25 00:40:00,20.45,20.445,20.24945,20.80595,0.004999999999999005
2019-06-25 00:50:00,20.42,20.39,20.07,20.47,0.030000000000001137
2019-06-25 01:00:00,20.29,20.314999999999998,20.19,20.49745,0.02499999999999858
2019-06-25 01:10:00,20.25,20.22,20.01245,20.36,0.030000000000001137
2019-06-25 01:20:00,20.05,20.14,20.0,20.29,0.08999999999999986
2019-06-25 01:30:00,20.03,20.01,19.831699999999998,20.18,0.019999999999999574
2019-06-25 01:40:00,19.97,19.91,19.87095,20.18,0.05999999999999872
2019-06-25 01:50:00,19.83,19.87,19.72,20.12,0.0400000000000027
2019-06-25 02:00:00,19.73,19.75,19.64,19.87,0.019999999999999574
2019-06-25 02:10:00,19.7,19.62,19.3,19.8052,0.0799999999999983
2019-06-25 02:20:00,19.52,19.48,19.18,19.97,0.03999999999999915
2019-06-25 02:30:00,19.41,19.4,19.25,19.59,0.010000000000001563
2019-06-25 02:40:00,19.25,19.35,19.26,19.4793,0.10000000000000142
2019-06-25 02:50:00,19.15,19.185000000000002,18.9701,19.3297,0.035000000000003695
2019-06-25 03:00:00,19.22,19.11,18.92,19.22,0.10999999999999943
2019-06-25 03:10:00,19.05,19.03,18.67,19.16,0.019999999999999574
2019-06-25 03:20:00,19.02,18.92,18.8,19.14,0.09999999999999787
2019-06-25 03:30:00,18.81,18.83,18.702099999999998,18.99,0.019999999999999574
2019-06-25 03:40:00,18.83,18.78,18.59,19.07,0.04999999999999716
2019-06-25 03:50:00,18.58,18.64,18.45165,18.76,0.060000000000002274
2019-06-25 04:00:00,18.7,18.55,18.4,18.659100000000002,0.14999999999999858
2019-06-25 04:10:00,18.48,18.49,18.310599999999997,18.64,0.00999999999999801
2019-06-25 04:20:00,18.35,18.29,18.15,18.4,0.060000000000002274
2019-06-25 04:30:00,18.22,18.25,18.11,18.32,0.030000000000001137
2019-06-25 04:40:00,18.15,18.175,17.976399999999998,18.3068,0.02500000000000213
2019-06-25 04:50:00,17.96,18.01,17.86,18.1,0.05000000000000071
2019-06-25 05:00:00,17.89,17.95,17.8626,18.18,0.05999999999999872
2019-06-25 05:10:00,18.0,17.91,17.7115,18.04,0.08999999999999986
2019-06-25 05:20:00,17.87,17.8,17.7,18.04,0.07000000000000028
2019-06-25 05:30:00,17.77,17.72,17.65,18.038649999999997,0.05000000000000071
2019-06-25 05:40:00,17.72,17.72,17.57175,17.88,0.0
2019-06-25 05:50:00,17.68,17.69,17.46,18.04,0.010000000000001563
2019-06-25 06:00:00,17.81,17.72,17.46,18.04,0.08999999999999986
2019-06-25 06:10:00,17.91,17.68,17.46,18.04,0.23000000000000043
2019-06-25 07:00:00,19.24,19.59,19.301000000000002,19.93,0.3500000000000014
2019-06-25 07:10:00,19.45,19.794999999999998,19.51125,20.04,0.34499999999999886
2019-06-25 07:20:00,19.81,20.12,19.75945,20.42,0.3100000000000023
2019-06-25 07:30:00,20.27,20.31,20.13375,20.53,0.03999999999999915
2019-06-25 07:40:00,20.73,20.67,20.45,20.9102,0.05999999999999872
2019-06-25 07:50:00,21.48,21.19,20.814999999999998,21.3375,0.28999999999999915
2019-06-25 08:00:00,21.6,21.56,21.07,21.94805,0.0400000000000027
2019-06-25 08:10:00,21.7,22.0,21.50495,22.58,0.3000000000000007
2019-06-25 08:20:00,22.67,22.525,22.11,22.821299999999997,0.14500000000000313
2019-06-25 08:30:00,23.0,22.75,22.34,23.08875,0.25
2019-06-25 08:40:00,23.07,23.27,22.771349999999998,23.99,0.1999999999999993
2019-06-25 08:50:00,24.15,23.52,22.97,24.08555,0.629999999999999
2019-06-25 09:00:00,23.82,23.825,23.25,24.42,0.004999999999999005
2019-06-25 09:10:00,24.25,24.24,23.94,24.74,0.010000000000001563
2019-06-25 09:20:00,24.31,24.41,23.88,24.9086,0.10000000000000142
2019-06-25 09:30:00,24.31,24.645,24.22,25.16,0.33500000000000085
2019-06-25 09:40:00,24.89,24.7,24.0,25.444799999999997,0.19000000000000128
2019-06-25 09:50:00,25.49,25.259999999999998,24.85,25.83,0.23000000000000043
2019-06-25 10:00:00,25.65,25.56,24.95,26.237700000000004,0.08999999999999986
2019-06-25 10:10:00,26.16,25.84,25.54,26.82,0.3200000000000003
2019-06-25 10:20:00,25.96,26.31,25.7026,26.93,0.34999999999999787
2019-06-25 10:30:00,26.21,26.775,26.16,27.168999999999997,0.5649999999999977
2019-06-25 10:40:00,26.9,27.11,26.55095,27.78575,0.21000000000000085
2019-06-25 10:50:00,27.57,27.405,26.8232,28.25,0.16499999999999915
2019-06-25 11:00:00,28.2,27.77,27.00035,28.31,0.4299999999999997
2019-06-25 11:10:00,28.57,28.48,27.9,28.94,0.08999999999999986
2019-06-25 11:20:00,28.31,28.6,27.93,29.25,0.2900000000000027
2019-06-25 11:30:00,28.96,28.82,27.9942,29.2866,0.14000000000000057
2019-06-25 11:40:00,29.64,29.205000000000002,28.54,29.886899999999997,0.4349999999999987
2019-06-25 11:50:00,29.18,29.46,29.1707,30.09,0.28000000000000114
2019-06-25 12:00:00,29.5,29.705000000000002,29.1269,30.2,0.20500000000000185
2019-06-25 12:10:00,30.2,29.99,28.81,30.651500000000002,0.21000000000000085
2019-06-25 12:20:00,30.16,30.14,29.37,30.88,0.019999999999999574
2019-06-25 12:30:00,30.54,30.805,30.12,31.73,0.26500000000000057
2019-06-25 12:40:00,31.29,31.44,30.32,31.7936,0.15000000000000213
2019-06-25 12:50:00,32.19,31.32,30.00835,31.937900000000003,0.8699999999999974
2019-06-25 13:00:00,31.02,31.81,30.8432,32.37,0.7899999999999991
2019-06-25 13:10:00,32.3,32.25,31.16,32.5678,0.04999999999999716
2019-06-25 13:20:00,32.89,32.35,31.63,32.999649999999995,0.5399999999999991
2019-06-25 13:30:00,32.36,32.36,31.533,33.066,0.0
2019-06-25 13:40:00,31.82,32.725,32.347500000000004,33.66,0.9050000000000011
2019-06-25 13:50:00,32.16,32.879999999999995,32.17145,33.66,0.7199999999999989
2019-06-25 14:00:00,32.89,32.8,32.1948,33.505199999999995,0.09000000000000341
2019-06-25 14:10:00,34.05,32.93,32.38,33.7934,1.1199999999999974
2019-06-25 14:20:00,33.09,33.41,32.7563,34.0,0.3199999999999932
2019-06-25 14:30:00,33.08,34.125,33.35215,34.43,1.0450000000000017
2019-06-25 14:40:00,34.62,33.77,32.91,34.395599999999995,0.8499999999999943
2019-06-25 14:50:00,33.28,33.77,32.91,34.4424,0.490000000000002
2019-06-25 15:00:00,34.71,34.07,33.3428,34.9476,0.6400000000000006
2019-06-25 15:10:00,35.0,34.565,33.7019,34.97,0.4350000000000023
2019-06-25 15:20:00,34.02,34.52,34.12505,34.97,0.5
2019-06-25 15:30:00,34.73,34.620000000000005,34.11135,35.4,0.10999999999999233
2019-06-25 15:40:00,35.31,34.5,34.12,35.4,0.8100000000000023
2019-06-25 15:50:00,34.49,34.72,34.2112,35.4,0.22999999999999687
2019-06-25 16:00:00,33.98,34.92,34.4364,35.47,0.9400000000000048
2019-06-25 16:10:00,35.17,34.98,34.46,35.568999999999996,0.19000000000000483
2019-06-25 16:20:00,34.77,34.980000000000004,34.3784,35.61,0.21000000000000085
2019-06-25 16:30:00,35.49,35.23,34.6536,36.0196,0.2600000000000051
2019-06-25 16:40:00,35.25,35.235,34.81,35.83,0.015000000000000568
2019-06-25 16:50:00,35.35,35.330000000000005,34.98,36.2611,0.01999999999999602
2019-06-25 17:00:00,35.6,35.32,34.81,36.0511,0.28000000000000114
2019-06-25 17:10:00,34.86,35.32,34.7147,36.28,0.46000000000000085
2019-06-25 17:20:00,35.51,34.93,34.49,35.36,0.5799999999999983
2019-06-25 17:30:00,34.87,34.72,34.1878,35.04,0.14999999999999858
2019-06-25 17:40:00,34.43,34.285,33.838049999999996,35.1139,0.14500000000000313
2019-06-25 17:50:00,33.76,33.89,33.14,34.577999999999996,0.13000000000000256
2019-06-25 18:00:00,33.35,33.58,33.01,34.35249999999999,0.22999999999999687
2019-06-25 18:10:00,32.92,33.29,32.4116,33.91,0.36999999999999744
2019-06-25 18:20:00,32.92,33.004999999999995,31.802799999999998,33.629200000000004,0.08499999999999375
2019-06-25 18:30:00,32.78,32.98,32.25,33.426249999999996,0.19999999999999574
2019-06-25 18:40:00,32.85,32.75,32.19225,33.307249999999996,0.10000000000000142
2019-06-25 18:50:00,32.8,32.69,31.9097,33.16,0.10999999999999943
2019-06-25 19:00:00,32.51,32.725,31.822,33.22,0.2150000000000034
2019-06-25 19:10:00,32.4,32.395,31.7912,33.1,0.0049999999999954525
2019-06-25 19:20:00,32.29,32.2,31.78,32.74,0.0899999999999963
2019-06-25 19:30:00,31.85,32.07,31.344299999999997,32.57,0.21999999999999886
2019-06-25 19:40:00,31.79,31.71,30.86,32.49,0.0799999999999983
2019-06-25 19:50:00,31.63,31.29,30.8296,32.013600000000004,0.33999999999999986
2019-06-25 20:00:00,31.5,30.995,30.51505,31.53,0.504999999999999
2019-06-25 20:10:00,30.57,30.445,29.842799999999997,30.7668,0.125
2019-06-25 20:20:00,29.94,29.98,29.56,30.33985,0.03999999999999915
2019-06-25 20:30:00,29.33,29.24,28.71,30.45,0.08999999999999986
2019-06-25 20:40:00,28.69,28.77,28.4605,29.1997,0.0799999999999983
2019-06-25 20:50:00,28.19,28.1,27.69,28.936249999999998,0.08999999999999986
2019-06-25 21:00:00,27.57,27.615,27.03,27.87,0.04499999999999815
2019-06-25 21:10:00,27.21,27.19,27.05,27.439700000000002,0.019999999999999574
2019-06-25 21:20:00,26.65,26.62,26.37,27.13,0.029999999999997584
2019-06-25 21:30:00,26.2,26.22,25.88,26.35,0.019999999999999574
2019-06-25 21:40:00,25.8,25.779999999999998,25.4677,25.9934,0.020000000000003126
2019-06-25 21:50:00,25.31,25.4,25.11,25.68,0.08999999999999986
2019-06-25 22:00:00,24.99,25.06,24.75,25.17,0.07000000000000028
2019-06-25 22:10:00,24.62,24.74,24.27,24.94,0.11999999999999744
2019-06-25 22:20:00,24.39,24.625,24.27,24.8128,0.23499999999999943
2019-06-25 22:30:00,24.22,24.27,24.0,24.46,0.05000000000000071
2019-06-25 22:40:00,24.15,24.1,23.9618,24.3,0.04999999999999716
2019-06-25 22:50:00,23.92,23.8,23.64,24.03,0.120000000000001
2019-06-25 23:00:00,23.65,23.62,23.4116,23.84,0.029999999999997584
2019-06-25 23:10:00,23.5,23.55,23.34,23.767599999999998,0.05000000000000071
2019-06-25 23:20:00,23.32,23.35,23.04945,23.66265,0.030000000000001137
2019-06-25 23:30:00,23.17,23.2,22.99,23.47,0.029999999999997584
2019-06-25 23:40:00,23.09,22.97,22.7545,23.3,0.120000000000001
2019-06-25 23:50:00,22.91,22.89,22.7088,23.122299999999996,0.019999999999999574
2019-06-26 00:00:00,22.8,22.72,22.51,23.08,0.08000000000000185
2019-06-26 00:10:00,22.59,22.63,22.46,22.8,0.03999999999999915
2019-06-26 00:20:00,22.52,22.49,22.34,22.69,0.030000000000001137
2019-06-26 00:30:00,22.45,22.38,22.24055,22.54615,0.07000000000000028
2019-06-26 00:40:00,22.24,22.21,22.050900000000002,22.34,0.029999999999997584
2019-06-26 00:50:00,22.1,22.035,21.881999999999998,22.28,0.06500000000000128
2019-06-26 01:00:00,21.9,21.87,21.7745,22.1764,0.029999999999997584
2019-06-26 01:10:00,21.76,21.76,21.5705,22.04,0.0
2019-06-26 01:20:00,21.59,21.67,21.3,21.78,0.08000000000000185
2019-06-26 01:30:00,21.5,21.41,21.34,21.58,0.08999999999999986
2019-06-26 01:40:00,21.34,21.360000000000003,21.23055,21.65,0.020000000000003126
2019-06-26 01:50:00,21.21,21.21,21.102400000000003,21.427599999999998,0.0
2019-06-26 02:00:00,21.1,21.09,20.9415,21.2695,0.010000000000001563
2019-06-26 02:10:00,21.05,21.02,20.8504,21.22,0.030000000000001137
2019-06-26 02:20:00,20.98,20.965,20.72,21.06,0.015000000000000568
2019-06-26 02:30:00,20.79,20.82,20.53,21.16,0.030000000000001137
2019-06-26 02:40:00,20.66,20.64,20.4642,20.887900000000002,0.019999999999999574
2019-06-26 02:50:00,20.52,20.5,20.35165,20.77,0.019999999999999574
2019-06-26 03:00:00,20.29,20.37,20.07585,20.46,0.08000000000000185
2019-06-26 03:10:00,20.21,20.22,20.11,20.32,0.00999999999999801
2019-06-26 03:20:00,20.12,20.145,19.67,20.28,0.02499999999999858
2019-06-26 03:30:00,19.99,19.96,19.75,20.27,0.029999999999997584
2019-06-26 03:40:00,19.97,20.04,19.82,20.22,0.07000000000000028
2019-06-26 03:50:00,20.08,19.91,19.8115,20.117,0.16999999999999815
2019-06-26 04:00:00,20.04,19.9,19.83,20.18,0.14000000000000057
2019-06-26 04:10:00,19.96,19.904999999999998,19.83,20.18,0.05500000000000327
2019-06-26 04:20:00,19.9,19.9,19.748099999999997,20.18,0.0
2019-06-26 04:30:00,19.87,19.87,19.69,19.94,0.0
2019-06-26 04:40:00,19.81,19.72,19.59,19.91,0.08999999999999986
2019-06-26 04:50:00,19.76,19.75,19.64,20.02,0.010000000000001563
2019-06-26 05:00:00,19.66,19.6,19.3,19.727,0.05999999999999872
2019-06-26 05:10:00,19.59,19.56,19.3,19.73,0.030000000000001137
2019-06-26 05:20:00,19.55,19.53,19.35455,19.65935,0.019999999999999574
2019-06-26 05:30:00,19.5,19.51,19.35,19.65,0.010000000000001563
2019-06-26 05:40:00,19.46,19.525,19.35,19.6948,0.06499999999999773
2019-06-26 05:50:00,19.46,19.51,19.241999999999997,19.93,0.05000000000000071
2019-06-26 06:00:00,19.53,19.64,19.46,19.81,0.10999999999999943
2019-06-26 06:10:00,19.72,19.77,19.51,20.08,0.05000000000000071
2019-06-26 06:20:00,19.96,20.0,19.87,20.33,0.03999999999999915
2019-06-26 06:30:00,20.36,20.29,20.13,20.4988,0.07000000000000028
2019-06-26 06:40:00,20.62,20.595000000000002,20.2963,20.84685,0.02499999999999858
2019-06-26 06:50:00,21.05,20.91,20.651249999999997,21.06,0.14000000000000057
2019-06-26 07:00:00,21.46,21.28,21.15,21.5973,0.17999999999999972
2019-06-26 07:10:00,21.63,21.675,21.41225,21.93,0.045000000000001705
2019-06-26 07:20:00,21.86,22.15,21.86,22.41,0.28999999999999915
2019-06-26 07:30:00,22.54,22.75,22.36,23.13,0.21000000000000085
2019-06-26 07:40:00,23.25,23.12,22.85,23.41,0.129999999999999
2019-06-26 07:50:00,23.83,23.65,23.5212,23.92,0.17999999999999972
2019-06-26 08:00:00,24.85,24.52,23.97,25.0472,0.33000000000000185
2019-06-26 08:10:00,24.48,24.775000000000002,24.42,25.1992,0.2950000000000017
2019-06-26 08:20:00,25.49,25.23,24.48,25.49,0.259999999999998
2019-06-26 08:30:00,25.86,25.62,25.3817,26.1813,0.23999999999999844
2019-06-26 08:40:00,26.72,26.16,25.881999999999998,26.695999999999998,0.5599999999999987
2019-06-26 08:50:00,26.04,26.58,25.9982,27.060499999999998,0.5399999999999991
2019-06-26 09:00:00,27.06,26.794999999999998,26.47,27.1,0.26500000000000057
2019-06-26 09:10:00,27.75,27.37,26.78215,27.79,0.379999999999999
2019-06-26 09:20:00,26.89,27.400000000000002,27.037200000000002,28.066399999999998,0.5100000000000016
2019-06-26 09:30:00,27.92,27.83,27.34,28.42,0.09000000000000341
2019-06-26 09:40:00,28.2,28.47,27.9,29.081,0.2699999999999996
2019-06-26 09:50:00,28.47,28.45,27.74,29.064999999999998,0.019999999999999574
2019-06-26 10:00:00,29.09,28.86,28.21,29.5567,0.23000000000000043
2019-06-26 10:10:00,29.84,29.23,28.77185,30.02,0.6099999999999994
2019-06-26 10:20:00,29.31,29.4,29.1,30.17,0.08999999999999986
2019-06-26 10:30:00,29.67,29.705,29.110400000000002,30.2461,0.03499999999999659
2019-06-26 10:40:00,30.2,29.98,29.5456,30.92,0.21999999999999886
2019-06-26 10:50:00,30.51,30.175,29.33,30.5684,0.33500000000000085
2019-06-26 11:00:00,29.85,30.46,29.51,31.03,0.6099999999999994
2019-06-26 11:10:00,30.59,30.315,29.45,30.88,0.2749999999999986
2019-06-26 11:20:00,30.47,30.535,29.81155,30.92,0.06500000000000128
2019-06-26 11:30:00,31.1,30.855,30.23,32.68,0.245000000000001
2019-06-26 11:40:00,30.38,31.29,30.33255,31.99225,0.9100000000000001
2019-06-26 11:50:00,31.05,31.31,30.62,32.66,0.259999999999998
2019-06-26 12:00:00,31.81,31.425,30.8627,32.1373,0.384999999999998
2019-06-26 12:10:00,31.75,31.819999999999997,30.86,32.3743,0.06999999999999673
2019-06-26 12:20:00,32.97,32.19,31.56,32.74,0.7800000000000011
2019-06-26 12:30:00,31.89,32.76,31.63,33.32,0.8699999999999974
2019-06-26 12:40:00,32.68,33.005,32.43,33.791999999999994,0.32500000000000284
2019-06-26 12:50:00,33.37,33.55,32.92,34.15845,0.17999999999999972
2019-06-26 13:00:00,34.36,33.745,33.09125,34.25,0.615000000000002
2019-06-26 13:10:00,34.05,33.88,33.37,34.54,0.1699999999999946
2019-06-26 13:20:00,34.76,34.475,33.58,35.03,0.2849999999999966
2019-06-26 13:30:00,34.02,34.85,33.94155,35.71,0.8299999999999983
2019-06-26 13:40:00,34.77,34.875,33.63,35.67855,0.10499999999999687
2019-06-26 13:50:00,35.96,35.32,34.02,35.87,0.6400000000000006
2019-06-26 14:00:00,35.65,35.38,34.85,36.03,0.269999999999996
2019-06-26 14:10:00,35.84,35.71,35.24,36.73,0.13000000000000256
2019-06-26 14:20:00,35.86,35.85,35.3534,36.50575,0.00999999999999801
2019-06-26 14:30:00,36.14,36.025,35.25,36.569849999999995,0.11500000000000199
2019-06-26 14:40:00,36.04,36.38,35.468,37.61,0.3400000000000034
2019-06-26 14:50:00,35.66,36.5,35.39,37.2256,0.8400000000000034
2019-06-26 15:00:00,36.01,36.06,35.3429,36.791399999999996,0.05000000000000426
2019-06-26 15:10:00,36.55,35.99,35.33,36.497499999999995,0.5599999999999952
2019-06-26 15:20:00,35.87,36.07,35.406,36.76,0.20000000000000284
2019-06-26 15:30:00,36.0,36.23,35.39,36.735,0.22999999999999687
2019-06-26 15:40:00,35.66,36.24,35.39,36.732,0.5800000000000054
2019-06-26 15:50:00,36.69,36.095,35.5942,36.6046,0.5949999999999989
2019-06-26 16:00:00,35.79,36.08,35.3544,36.38,0.28999999999999915
2019-06-26 16:10:00,35.89,36.0,35.5421,36.70685,0.10999999999999943
2019-06-26 16:20:00,35.56,35.955000000000005,35.28945,36.38,0.3950000000000031
2019-06-26 16:30:00,36.08,36.06,35.5765,36.758300000000006,0.01999999999999602
2019-06-26 16:40:00,35.45,35.76,35.5327,37.14,0.30999999999999517
2019-06-26 16:50:00,36.23,35.76,35.316900000000004,36.75965,0.46999999999999886
2019-06-26 17:00:00,36.16,35.945,35.607,36.87725,0.2149999999999963
2019-06-26 17:10:00,35.45,36.04,35.6062,36.86125,0.5899999999999963
2019-06-26 17:20:00,35.94,36.07,35.52555,37.10485,0.13000000000000256
2019-06-26 17:30:00,36.12,35.69,35.27,37.02,0.4299999999999997
2019-06-26 17:40:00,36.12,35.48,35.131350000000005,36.32595,0.6400000000000006
2019-06-26 17:50:00,35.42,35.5,34.74,36.88,0.0799999999999983
2019-06-26 18:00:00,34.91,35.02,34.1,35.78,0.11000000000000654
2019-06-26 18:10:00,34.56,34.85,33.95,35.48,0.28999999999999915
2019-06-26 18:20:00,34.23,34.385,34.073100000000004,35.09,0.15500000000000114
2019-06-26 18:30:00,34.08,34.04,33.702600000000004,34.5266,0.03999999999999915
2019-06-26 18:40:00,33.87,33.77,33.37,34.54,0.09999999999999432
2019-06-26 18:50:00,33.46,33.44,32.89265,34.0931,0.020000000000003126
2019-06-26 19:00:00,32.97,33.044999999999995,32.59,33.5697,0.07499999999999574
2019-06-26 19:10:00,32.8,32.68,31.63,33.21,0.11999999999999744
2019-06-26 19:20:00,32.11,32.34,31.78125,32.82,0.23000000000000398
2019-06-26 19:30:00,32.01,31.865000000000002,31.41,32.39855,0.14499999999999602
2019-06-26 19:40:00,31.52,31.44,30.842299999999998,31.86,0.0799999999999983
2019-06-26 19:50:00,30.92,31.08,30.6309,31.7646,0.1599999999999966
2019-06-26 20:00:00,30.67,30.494999999999997,29.86,31.068749999999994,0.17500000000000426
2019-06-26 20:10:00,30.2,30.19,29.78,30.84,0.00999999999999801
2019-06-26 20:20:00,29.75,29.8,29.2607,30.5717,0.05000000000000071
2019-06-26 20:30:00,29.33,29.26,29.08,30.15,0.06999999999999673
2019-06-26 20:40:00,28.86,28.83,28.62,29.1779,0.030000000000001137
2019-06-26 20:50:00,28.44,28.41,28.06325,29.022000000000002,0.030000000000001137
2019-06-26 21:00:00,27.98,28.0,27.72,28.831300000000002,0.019999999999999574
2019-06-26 21:10:00,27.61,27.59,27.04,28.06,0.019999999999999574
2019-06-26 21:20:00,27.18,27.175,27.05,27.4,0.004999999999999005
2019-06-26 21:30:00,26.78,26.814999999999998,26.6452,27.230099999999993,0.03499999999999659
2019-06-26 21:40:00,26.4,26.58,26.35,26.69,0.17999999999999972
2019-06-26 21:50:00,26.19,26.165,25.950599999999998,26.398999999999997,0.02500000000000213
2019-06-26 22:00:00,25.92,25.83,25.66,26.008650000000003,0.09000000000000341
2019-06-26 22:10:00,25.65,25.59,25.066599999999998,25.7494,0.05999999999999872
2019-06-26 22:20:00,25.31,25.42,25.15,25.55,0.11000000000000298
2019-06-26 22:30:00,25.09,25.15,24.8625,25.64,0.05999999999999872
2019-06-26 22:40:00,24.89,24.96,24.66,25.13,0.07000000000000028
2019-06-26 22:50:00,24.73,24.74,24.471,24.92,0.00999999999999801
2019-06-26 23:00:00,24.48,24.55,24.27,24.82,0.07000000000000028
2019-06-26 23:10:00,24.34,24.32,23.97,24.46,0.019999999999999574
2019-06-26 23:20:00,24.06,24.22,23.9802,24.5781,0.16000000000000014
2019-06-26 23:30:00,24.0,24.1,23.98,24.3,0.10000000000000142
2019-06-26 23:40:00,23.97,23.94,23.76,24.14555,0.029999999999997584
2019-06-26 23:50:00,23.82,23.84,23.62,23.99,0.019999999999999574
2019-06-27 00:00:00,23.77,23.74,23.4121,23.9386,0.030000000000001137
2019-06-27 00:10:00,23.63,23.61,23.3484,23.77,0.019999999999999574
2019-06-27 00:20:00,23.46,23.5,23.1,23.7246,0.03999999999999915
2019-06-27 00:30:00,23.28,23.35,23.16085,23.51,0.07000000000000028
2019-06-27 00:40:00,23.11,23.22,23.16,23.36,0.10999999999999943
2019-06-27 00:50:00,23.24,23.2,23.03,23.438000000000002,0.03999999999999915
2019-06-27 01:00:00,22.93,23.005000000000003,22.84,23.3,0.07500000000000284
2019-06-27 01:10:00,23.1,22.945,22.63,23.09,0.15500000000000114
2019-06-27 01:20:00,23.0,22.84,22.66,23.019399999999997,0.16000000000000014
2019-06-27 01:30:00,22.67,22.74,22.51,23.07715,0.06999999999999673
2019-06-27 01:40:00,22.63,22.63,22.49345,22.81,0.0
2019-06-27 01:50:00,22.58,22.55,22.3414,22.71,0.029999999999997584
2019-06-27 02:00:00,22.49,22.4,22.170350000000003,22.65985,0.08999999999999986
2019-06-27 02:10:00,22.29,22.34,22.21,22.56,0.05000000000000071
2019-06-27 02:20:00,22.22,22.21,21.9724,22.4092,0.00999999999999801
2019-06-27 02:30:00,22.05,22.0,21.96,22.24,0.05000000000000071
2019-06-27 02:40:00,21.93,21.95,21.78,22.3692,0.019999999999999574
2019-06-27 02:50:00,21.8,21.755000000000003,21.45,22.13505,0.04499999999999815
2019-06-27 03:00:00,21.65,21.71,21.468,21.86,0.060000000000002274
2019-06-27 03:10:00,21.48,21.52,21.47,21.77,0.03999999999999915
2019-06-27 03:20:00,21.52,21.42,21.34,21.598300000000002,0.09999999999999787
2019-06-27 03:30:00,21.42,21.41,21.26075,21.64475,0.010000000000001563
2019-06-27 03:40:00,21.24,21.3,21.16,21.57685,0.060000000000002274
2019-06-27 03:50:00,21.34,21.23,20.902350000000002,21.42715,0.10999999999999943
2019-06-27 04:00:00,21.24,21.185,21.03,21.39,0.054999999999999716
2019-06-27 04:10:00,21.07,21.07,20.97,21.219749999999998,0.0
2019-06-27 04:20:00,20.93,20.99,20.82,21.14,0.05999999999999872
2019-06-27 04:30:00,21.01,20.895,20.654,21.06,0.11500000000000199
2019-06-27 04:40:00,20.87,20.74,20.53,21.05,0.13000000000000256
2019-06-27 04:50:00,20.66,20.64,20.36,20.8082,0.019999999999999574
2019-06-27 05:00:00,20.5,20.59,20.43,20.79,0.08999999999999986
2019-06-27 05:10:00,20.35,20.38,20.24,20.600649999999998,0.029999999999997584
