Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,22.42,22.01,21.81,22.28,0.41000000000000014
2019-06-25 00:10:00,22.12,22.015,21.81,22.29,0.10500000000000043
2019-06-25 00:20:00,21.85,21.904999999999998,21.652849999999997,22.1662,0.05499999999999616
2019-06-25 00:30:00,21.88,21.915,21.6844,22.31,0.03500000000000014
2019-06-25 00:40:00,22.1,21.76,21.56,22.0146,0.33999999999999986
2019-06-25 00:50:00,21.84,21.74,21.52,21.869400000000002,0.10000000000000142
2019-06-25 01:00:00,21.5,21.63,21.3827,21.83,0.129999999999999
2019-06-25 01:10:00,21.43,21.56,21.22,21.97,0.129999999999999
2019-06-25 01:20:00,21.63,21.495,21.17,21.76,0.134999999999998
2019-06-25 01:30:00,21.32,21.38,21.04185,21.67,0.05999999999999872
2019-06-25 01:40:00,21.5,21.33,21.2004,21.6268,0.1700000000000017
2019-06-25 01:50:00,21.35,21.27,21.0202,21.5292,0.08000000000000185
2019-06-25 02:00:00,21.39,21.17,20.8,21.43,0.21999999999999886
2019-06-25 02:10:00,20.98,21.27,21.0254,21.51,0.28999999999999915
2019-06-25 02:20:00,21.07,21.03,20.89,21.2352,0.03999999999999915
2019-06-25 02:30:00,20.88,20.99,20.75,21.25,0.10999999999999943
2019-06-25 02:40:00,20.91,20.76,20.63,21.03,0.14999999999999858
2019-06-25 02:50:00,20.67,20.67,20.4,21.28,0.0
2019-06-25 03:00:00,20.65,20.58,20.26,20.88,0.07000000000000028
2019-06-25 03:10:00,20.4,20.41,20.12,20.65,0.010000000000001563
2019-06-25 03:20:00,20.27,20.41,20.13,20.64,0.14000000000000057
2019-06-25 03:30:00,20.28,20.35,20.0196,20.67,0.07000000000000028
2019-06-25 03:40:00,20.34,20.27,19.85,20.56,0.07000000000000028
2019-06-25 03:50:00,20.38,20.15,19.88,20.37,0.23000000000000043
2019-06-25 04:00:00,20.12,20.14,19.88,20.37,0.019999999999999574
2019-06-25 04:10:00,19.84,20.14,19.88,20.37,0.3000000000000007
2019-06-25 04:20:00,19.83,20.03,19.84,20.3,0.20000000000000284
2019-06-25 04:30:00,19.97,19.975,19.77,20.19,0.005000000000002558
2019-06-25 04:40:00,20.3,19.87,19.65,20.09,0.4299999999999997
2019-06-25 04:50:00,20.0,19.825,19.58,19.93965,0.1750000000000007
2019-06-25 05:00:00,19.83,19.73,19.5899,19.953400000000002,0.09999999999999787
2019-06-25 05:10:00,19.68,19.72,19.58,20.05,0.03999999999999915
2019-06-25 05:20:00,19.53,19.65,19.5228,19.89,0.11999999999999744
2019-06-25 05:30:00,19.38,19.64,19.456,19.89,0.26000000000000156
2019-06-25 05:40:00,19.77,19.365,19.12,19.71,0.40500000000000114
2019-06-25 05:50:00,19.61,19.355,19.07,19.53,0.254999999999999
2019-06-25 06:00:00,19.46,19.3,19.07,19.53,0.16000000000000014
2019-06-25 06:10:00,19.12,19.16,18.8315,19.5,0.03999999999999915
2019-06-25 06:20:00,18.89,19.19,18.89,19.5,0.3000000000000007
2019-06-25 06:30:00,18.91,19.28,18.94,19.5084,0.370000000000001
2019-06-25 06:40:00,19.08,19.34,19.07,19.53,0.26000000000000156
2019-06-25 06:50:00,19.72,19.58,19.36,19.88,0.14000000000000057
2019-06-25 07:00:00,19.93,19.73,19.34,19.96,0.1999999999999993
2019-06-25 07:10:00,20.22,19.925,19.76075,20.2455,0.29499999999999815
2019-06-25 07:20:00,20.2,20.38,20.073,20.673,0.17999999999999972
2019-06-25 07:30:00,20.3,20.84,20.35,21.29,0.5399999999999991
2019-06-25 07:40:00,20.52,21.17,20.813599999999997,21.4696,0.6500000000000021
2019-06-25 07:50:00,21.76,21.55,21.228399999999997,22.435999999999996,0.21000000000000085
2019-06-25 08:00:00,22.34,22.075,21.74,22.59,0.26500000000000057
2019-06-25 08:10:00,22.91,22.77,22.34,23.1988,0.14000000000000057
2019-06-25 08:20:00,23.2,23.314999999999998,22.77,23.77,0.11499999999999844
2019-06-25 08:30:00,23.89,23.79,23.48,24.33,0.10000000000000142
2019-06-25 08:40:00,24.47,24.155,23.9024,24.74,0.3149999999999977
2019-06-25 08:50:00,24.75,24.37,23.97,24.81,0.379999999999999
2019-06-25 09:00:00,24.52,24.47,23.99,25.0,0.05000000000000071
2019-06-25 09:10:00,24.66,24.665,24.015,25.697499999999998,0.004999999999999005
2019-06-25 09:20:00,24.2,24.9,24.2195,25.45,0.6999999999999993
2019-06-25 09:30:00,24.7,24.92,24.33,25.414499999999997,0.22000000000000242
2019-06-25 09:40:00,25.44,25.095000000000002,24.3633,25.44,0.34499999999999886
2019-06-25 09:50:00,26.53,25.575,25.0057,25.99,0.9550000000000018
2019-06-25 10:00:00,25.61,25.8,25.37425,26.6765,0.19000000000000128
2019-06-25 10:10:00,25.42,26.26,25.78,26.56,0.8399999999999999
2019-06-25 10:20:00,26.2,26.65,25.9462,27.00535,0.4499999999999993
2019-06-25 10:30:00,27.46,26.494999999999997,25.936,26.98,0.9650000000000034
2019-06-25 10:40:00,26.91,26.8,26.24,27.4,0.10999999999999943
2019-06-25 10:50:00,27.32,26.945,26.81,27.54,0.375
2019-06-25 11:00:00,26.98,27.8,27.124000000000002,28.82,0.8200000000000003
2019-06-25 11:10:00,27.66,27.57,27.0354,28.469099999999997,0.08999999999999986
2019-06-25 11:20:00,28.51,28.05,27.77,28.8541,0.46000000000000085
2019-06-25 11:30:00,29.29,28.615,27.64,29.03,0.6750000000000007
2019-06-25 11:40:00,28.85,28.86,28.15,29.156000000000002,0.00999999999999801
