Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,21.65,21.79,21.56,22.01,0.14000000000000057
2019-06-25 00:10:00,21.49,21.765,21.41,22.01,0.27500000000000213
2019-06-25 00:20:00,21.91,21.71,21.53,21.93,0.1999999999999993
2019-06-25 00:30:00,22.02,21.71,21.5303,21.9298,0.3099999999999987
2019-06-25 00:40:00,21.63,21.69,21.39,21.93,0.060000000000002274
2019-06-25 00:50:00,21.61,21.69,21.39,21.8173,0.08000000000000185
2019-06-25 01:00:00,21.77,21.58,21.3916,21.972799999999996,0.19000000000000128
2019-06-25 01:10:00,21.46,21.44,21.27,21.5597,0.019999999999999574
2019-06-25 01:20:00,21.34,21.38,21.25,21.5473,0.03999999999999915
2019-06-25 01:30:00,21.23,21.41,21.25,21.57,0.17999999999999972
2019-06-25 01:40:00,21.22,21.33,21.21,21.53,0.10999999999999943
2019-06-25 02:30:00,20.81,20.44,20.21155,20.77,0.36999999999999744
2019-06-25 02:40:00,20.64,20.49,20.25,20.688950000000002,0.15000000000000213
2019-06-25 02:50:00,20.33,20.35,20.25,20.55945,0.020000000000003126
2019-06-25 03:00:00,20.16,20.35,20.17,20.48,0.19000000000000128
2019-06-25 03:10:00,20.18,20.23,20.11,20.36,0.05000000000000071
2019-06-25 03:20:00,20.29,20.14,19.88,20.27,0.14999999999999858
2019-06-25 03:30:00,20.18,20.01,19.81,20.12,0.16999999999999815
2019-06-25 03:40:00,19.97,19.89,19.8003,20.286699999999996,0.0799999999999983
2019-06-25 03:50:00,19.68,19.75,19.6,20.02,0.07000000000000028
2019-06-25 04:00:00,19.45,19.63,19.3,19.86,0.17999999999999972
2019-06-25 04:10:00,19.35,19.49,19.31,19.5785,0.13999999999999702
2019-06-25 04:20:00,19.35,19.36,19.22,19.49,0.00999999999999801
2019-06-25 04:30:00,19.33,19.27,19.051000000000002,19.51,0.05999999999999872
2019-06-25 04:40:00,19.37,19.2,18.89,19.44,0.1700000000000017
2019-06-25 04:50:00,19.03,19.08,18.86,19.23,0.04999999999999716
2019-06-25 05:00:00,19.12,18.97,18.83,19.16,0.15000000000000213
2019-06-25 05:10:00,18.74,18.87,18.65,18.97,0.13000000000000256
2019-06-25 05:20:00,18.71,18.69,18.4828,18.9344,0.019999999999999574
2019-06-25 05:30:00,18.66,18.56,18.42,18.7,0.10000000000000142
2019-06-25 05:40:00,18.32,18.42,18.19,18.75,0.10000000000000142
2019-06-25 05:50:00,18.23,18.33,18.15,18.66,0.09999999999999787
2019-06-25 06:00:00,18.21,18.26,18.15,18.44,0.05000000000000071
2019-06-25 06:10:00,18.19,18.244999999999997,18.15,18.439,0.05499999999999616
2019-06-25 06:20:00,18.39,18.36,18.08,18.75,0.030000000000001137
2019-06-25 06:30:00,18.57,18.5,18.28,18.67,0.07000000000000028
2019-06-25 06:40:00,18.59,18.74,18.5424,19.18,0.14999999999999858
2019-06-25 06:50:00,18.93,18.97,18.83,19.33,0.03999999999999915
2019-06-25 07:00:00,19.19,19.18,19.011400000000002,19.4,0.010000000000001563
2019-06-25 07:10:00,19.52,19.495,19.1104,19.7,0.02499999999999858
2019-06-25 07:20:00,19.71,19.7,19.398500000000002,19.95,0.010000000000001563
2019-06-25 07:30:00,19.93,19.91,19.79,20.18,0.019999999999999574
2019-06-25 07:40:00,20.12,20.134999999999998,19.92,20.33,0.014999999999997016
2019-06-25 07:50:00,20.42,20.31,20.17,20.6056,0.11000000000000298
2019-06-25 08:00:00,20.61,20.47,20.36,20.68,0.14000000000000057
2019-06-25 08:10:00,20.69,20.82,20.48,21.05,0.129999999999999
2019-06-25 08:20:00,21.1,21.11,20.5261,21.43175,0.00999999999999801
2019-06-25 08:30:00,21.33,21.36,21.1851,21.74,0.030000000000001137
2019-06-25 08:40:00,21.51,21.88,21.565749999999998,22.24,0.36999999999999744
2019-06-25 08:50:00,22.13,22.27,21.91,22.4965,0.14000000000000057
2019-06-25 09:00:00,22.71,22.77,22.5425,23.0875,0.05999999999999872
2019-06-25 09:10:00,23.68,23.33,23.01255,23.8832,0.3500000000000014
2019-06-25 09:20:00,24.12,23.855,23.361349999999998,24.38,0.26500000000000057
2019-06-25 09:30:00,24.4,24.215,23.52,24.76,0.18499999999999872
2019-06-25 09:40:00,25.08,24.67,23.97,24.97,0.4099999999999966
2019-06-25 09:50:00,24.78,25.04,24.31,25.52535,0.259999999999998
2019-06-25 10:00:00,25.23,25.65,24.95,26.08505,0.41999999999999815
2019-06-25 10:10:00,25.54,25.855000000000004,25.49,26.4832,0.31500000000000483
2019-06-25 10:20:00,26.93,26.28,25.6333,27.17,0.6499999999999986
2019-06-25 10:30:00,26.93,26.535,26.1658,27.35,0.3949999999999996
2019-06-25 10:40:00,26.98,26.81,26.24,27.4,0.1700000000000017
2019-06-25 10:50:00,27.23,27.18,26.813399999999998,27.899,0.05000000000000071
2019-06-25 11:00:00,26.81,27.085,26.81,28.2483,0.27500000000000213
2019-06-25 11:10:00,27.23,27.53,26.9534,27.95,0.3000000000000007
2019-06-25 11:20:00,27.72,27.78,27.2122,28.364599999999996,0.060000000000002274
2019-06-25 11:30:00,28.32,28.07,27.1,28.75080000000001,0.25
2019-06-25 11:40:00,28.68,28.53,27.88,29.07,0.14999999999999858
2019-06-25 11:50:00,28.81,28.87,28.1,29.4452,0.060000000000002274
2019-06-25 12:00:00,29.24,29.1,28.48,29.6384,0.13999999999999702
2019-06-25 12:10:00,29.56,29.53,28.63,29.9876,0.029999999999997584
2019-06-25 12:20:00,29.93,29.54,28.45,30.2,0.39000000000000057
2019-06-25 12:30:00,29.52,29.969999999999995,29.2,30.7652,0.44999999999999574
2019-06-25 12:40:00,29.89,30.265,29.67365,30.62,0.375
2019-06-25 12:50:00,30.54,30.56,29.83,31.13225,0.019999999999999574
2019-06-25 13:00:00,30.83,30.71,29.96,31.843799999999998,0.11999999999999744
2019-06-25 13:10:00,31.44,30.99,30.3,31.9026,0.45000000000000284
2019-06-25 13:20:00,31.71,31.415,30.724,31.916,0.2950000000000017
2019-06-25 13:30:00,30.92,31.61,30.94,32.39,0.6899999999999977
2019-06-25 13:40:00,32.23,31.74,31.19,32.864799999999995,0.48999999999999844
2019-06-25 13:50:00,32.57,32.2,31.4493,32.9014,0.36999999999999744
2019-06-25 14:00:00,32.18,32.35,31.467750000000002,33.01,0.1700000000000017
2019-06-25 14:10:00,32.06,32.434999999999995,31.8105,33.23,0.3749999999999929
2019-06-25 14:20:00,32.61,32.5,31.72,33.32,0.10999999999999943
2019-06-25 14:30:00,32.03,32.74,32.1,33.32,0.7100000000000009
2019-06-25 14:40:00,33.24,32.74,32.01,33.85,0.5
2019-06-25 14:50:00,32.83,32.84,32.10295,33.35595,0.010000000000005116
2019-06-25 15:00:00,33.39,33.105,32.217499999999994,33.92125,0.2850000000000037
2019-06-25 15:10:00,33.1,33.15,32.77525,33.6974,0.04999999999999716
2019-06-25 15:20:00,32.88,33.144999999999996,32.7843,33.6944,0.26499999999999346
2019-06-25 15:30:00,33.14,33.22,32.92,33.9,0.0799999999999983
2019-06-25 15:40:00,33.33,33.379999999999995,32.8858,34.373599999999996,0.04999999999999716
2019-06-25 15:50:00,33.39,33.43,32.9737,34.1,0.03999999999999915
2019-06-25 16:00:00,33.4,33.455000000000005,33.05135,34.04,0.05500000000000682
2019-06-25 16:10:00,33.8,33.64,33.0315,34.07,0.1599999999999966
2019-06-25 16:20:00,33.48,33.87,33.22,34.54,0.39000000000000057
2019-06-25 16:30:00,33.73,33.82,33.46,34.58,0.09000000000000341
2019-06-25 16:40:00,33.85,34.03,33.3208,34.4538,0.17999999999999972
2019-06-25 16:50:00,34.23,34.12499999999999,33.71,34.696,0.10500000000000398
2019-06-25 17:00:00,34.69,34.335,33.94,35.06,0.3549999999999969
2019-06-25 17:10:00,34.3,34.39,33.8718,34.9701,0.09000000000000341
2019-06-25 17:20:00,34.36,34.46,33.8762,35.0735,0.10000000000000142
2019-06-25 17:30:00,34.26,34.38,33.8314,34.92,0.12000000000000455
2019-06-25 17:40:00,34.69,33.955000000000005,33.22735,34.29265,0.7349999999999923
2019-06-25 17:50:00,33.54,33.8,33.39,34.54,0.259999999999998
2019-06-25 18:00:00,33.2,33.51,32.6,34.35450000000001,0.30999999999999517
2019-06-25 18:10:00,33.05,33.29,32.495400000000004,33.87,0.240000000000002
2019-06-25 18:20:00,33.14,32.995,31.72,33.623599999999996,0.14500000000000313
2019-06-25 18:30:00,32.89,32.84,32.3,33.405199999999994,0.04999999999999716
2019-06-25 18:40:00,32.85,32.745000000000005,31.91,33.13,0.10499999999999687
2019-06-25 18:50:00,32.71,32.8,32.45,33.3196,0.0899999999999963
2019-06-25 19:00:00,32.5,32.51,31.8202,33.2858,0.00999999999999801
2019-06-25 19:10:00,32.42,32.4,32.06,32.727199999999996,0.020000000000003126
2019-06-25 19:20:00,32.24,32.22,31.73285,32.74,0.020000000000003126
2019-06-25 19:30:00,32.03,31.97,31.5033,32.57,0.060000000000002274
2019-06-25 19:40:00,31.8,31.67,31.12,32.356249999999996,0.129999999999999
2019-06-25 19:50:00,31.49,31.43,30.69,31.8292,0.05999999999999872
2019-06-25 20:00:00,31.16,31.155,30.612099999999998,31.6506,0.004999999999999005
2019-06-25 20:10:00,30.75,30.74,30.2342,31.173199999999998,0.010000000000001563
