Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,22.28,22.365000000000002,22.1,22.625799999999998,0.08500000000000085
2019-06-25 00:10:00,22.4,22.26,22.06025,22.45,0.13999999999999702
2019-06-25 00:20:00,22.27,22.17,21.9728,22.54,0.09999999999999787
2019-06-25 00:30:00,21.99,22.08,21.881349999999998,22.45,0.08999999999999986
2019-06-25 00:40:00,21.96,21.95,21.7,22.2482,0.010000000000001563
2019-06-25 00:50:00,21.85,21.88,21.53,22.0,0.029999999999997584
2019-06-25 01:00:00,21.66,21.74,21.64,22.0,0.0799999999999983
2019-06-25 01:10:00,21.55,21.74,21.63,22.0,0.18999999999999773
2019-06-25 01:20:00,21.61,21.69,21.39,21.92,0.08000000000000185
2019-06-25 01:30:00,21.76,21.62,21.367,21.91,0.14000000000000057
2019-06-25 01:40:00,21.77,21.64,21.41,21.7,0.129999999999999
2019-06-25 01:50:00,21.66,21.415000000000003,21.16,21.78505,0.24499999999999744
2019-06-25 02:00:00,21.44,21.38,21.3,21.56,0.060000000000002274
2019-06-25 02:10:00,21.17,21.27,20.9826,21.42,0.09999999999999787
2019-06-25 02:20:00,21.11,21.07,20.96,21.3552,0.03999999999999915
2019-06-25 02:30:00,20.82,20.91,20.763,21.161,0.08999999999999986
2019-06-25 02:40:00,20.79,20.91,20.63,21.0216,0.120000000000001
2019-06-25 02:50:00,20.7,20.76,20.5016,20.87,0.060000000000002274
2019-06-25 03:00:00,20.53,20.52,20.26,20.74695,0.010000000000001563
2019-06-25 03:10:00,20.59,20.52,20.34,20.6185,0.07000000000000028
2019-06-25 03:20:00,20.34,20.44,20.2,20.69,0.10000000000000142
2019-06-25 03:30:00,20.29,20.37,20.1305,20.67,0.08000000000000185
2019-06-25 03:40:00,20.52,20.27,19.99,20.54,0.25
2019-06-25 03:50:00,20.29,20.12,19.7526,20.3009,0.16999999999999815
2019-06-25 04:00:00,20.07,20.04,19.92,20.2982,0.030000000000001137
