Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,19.64,19.71,19.4526,19.85,0.07000000000000028
2019-06-25 00:10:00,19.5,19.38,19.1,19.7748,0.120000000000001
2019-06-25 00:20:00,19.63,19.34,19.07105,19.44,0.28999999999999915
2019-06-25 00:30:00,18.98,19.18,18.89,19.28,0.1999999999999993
2019-06-25 00:40:00,18.88,19.07,18.886,19.28,0.19000000000000128
2019-06-25 00:50:00,19.05,19.02,18.68,19.1765,0.030000000000001137
2019-06-25 01:00:00,19.03,18.91,18.63,19.047,0.120000000000001
2019-06-25 01:10:00,18.92,18.91,18.63,19.05,0.010000000000001563
2019-06-25 01:20:00,18.85,18.91,18.63,19.05,0.05999999999999872
2019-06-25 01:30:00,18.91,18.93,18.63,19.15,0.019999999999999574
2019-06-25 01:40:00,18.97,18.93,18.63,19.15,0.03999999999999915
2019-06-25 01:50:00,18.98,18.93,18.7,19.06,0.05000000000000071
2019-06-25 02:00:00,18.88,18.76,18.3765,19.134,0.11999999999999744
2019-06-25 02:10:00,18.69,18.67,18.32,19.14,0.019999999999999574
2019-06-25 02:20:00,18.56,18.58,18.25,18.85,0.019999999999999574
2019-06-25 02:30:00,18.43,18.4,18.188000000000002,18.6,0.030000000000001137
2019-06-25 02:40:00,18.32,18.28,18.15,18.48,0.03999999999999915
2019-06-25 02:50:00,18.25,18.25,18.08,18.45,0.0
2019-06-25 03:00:00,18.12,18.22,18.01,18.45,0.09999999999999787
2019-06-25 03:10:00,18.07,18.01,17.86,18.18955,0.05999999999999872
2019-06-25 03:20:00,18.07,18.005000000000003,17.86,18.44,0.06499999999999773
2019-06-25 03:30:00,18.04,17.9,17.72,18.08,0.14000000000000057
2019-06-25 03:40:00,17.8,17.72,17.46,17.93955,0.08000000000000185
2019-06-25 03:50:00,17.69,17.69,17.46,18.04,0.0
2019-06-25 04:00:00,17.65,17.65,17.46,17.71,0.0
2019-06-25 04:10:00,17.59,17.675,17.49,17.709300000000002,0.08500000000000085
2019-06-25 04:20:00,17.6,17.54,17.2972,17.68,0.060000000000002274
2019-06-25 04:30:00,17.43,17.36,17.2225,17.4995,0.07000000000000028
2019-06-25 04:40:00,17.43,17.36,17.2,17.66,0.07000000000000028
2019-06-25 04:50:00,17.38,17.36,17.18,17.5,0.019999999999999574
2019-06-25 05:00:00,17.36,17.29,17.18,17.5,0.07000000000000028
2019-06-25 05:10:00,17.35,17.29,17.18,17.56125,0.060000000000002274
2019-06-25 05:20:00,17.34,17.28,17.1076,17.565250000000002,0.05999999999999872
2019-06-25 05:30:00,17.17,17.28,17.1068,17.5183,0.10999999999999943
2019-06-25 05:40:00,17.22,17.26,17.1,17.46,0.0400000000000027
2019-06-25 05:50:00,17.1,17.29,17.1,17.4958,0.18999999999999773
2019-06-25 06:00:00,17.48,17.5,17.3376,17.7,0.019999999999999574
2019-06-25 06:10:00,17.62,17.83,17.68,18.05,0.2099999999999973
2019-06-25 06:20:00,18.08,18.35,18.19,18.46,0.2700000000000031
2019-06-25 06:30:00,18.63,18.87,18.62,18.98,0.240000000000002
2019-06-25 06:40:00,19.98,19.42,19.242549999999998,19.6483,0.5599999999999987
2019-06-25 06:50:00,20.33,20.0,19.4675,20.269,0.3299999999999983
2019-06-25 07:00:00,20.62,20.505,20.26105,20.829299999999996,0.11500000000000199
2019-06-25 07:10:00,21.44,21.1,20.8014,21.39,0.33999999999999986
2019-06-25 07:20:00,21.64,21.21,21.02,21.44,0.4299999999999997
2019-06-25 07:30:00,21.81,21.61,21.3,22.1,0.1999999999999993
2019-06-25 07:40:00,21.83,21.865000000000002,21.55,22.24,0.035000000000003695
2019-06-25 07:50:00,21.71,22.01,21.741349999999997,22.2,0.3000000000000007
2019-06-25 08:00:00,22.31,22.33,22.1,22.6552,0.019999999999999574
2019-06-25 08:10:00,22.37,22.76,22.33,23.4,0.39000000000000057
2019-06-25 08:20:00,22.93,22.95,22.52,23.315699999999996,0.019999999999999574
2019-06-25 08:30:00,23.19,23.42,23.0122,24.05,0.23000000000000043
2019-06-25 08:40:00,24.07,23.79,23.4664,24.33,0.28000000000000114
2019-06-25 08:50:00,24.17,24.17,23.92,24.7565,0.0
2019-06-25 09:00:00,25.0,24.47,23.97,24.849,0.5300000000000011
2019-06-25 09:10:00,24.17,24.720000000000002,24.32,25.3068,0.5500000000000007
2019-06-25 09:20:00,25.42,24.85,24.12,25.51,0.5700000000000003
2019-06-25 09:30:00,24.91,25.12,24.36375,25.49,0.21000000000000085
2019-06-25 09:40:00,25.18,25.22,24.71705,25.8538,0.03999999999999915
2019-06-25 09:50:00,25.18,25.66,25.17,26.34,0.4800000000000004
2019-06-25 10:00:00,25.42,25.82,24.98,26.26,0.3999999999999986
2019-06-25 10:10:00,26.59,25.965,25.23,26.68,0.625
2019-06-25 10:20:00,26.54,26.185000000000002,25.63,26.87,0.3549999999999969
2019-06-25 10:30:00,26.2,26.65,26.02,27.46,0.4499999999999993
2019-06-25 10:40:00,26.69,27.005,26.34415,27.58895,0.3149999999999977
2019-06-25 10:50:00,27.37,27.08,26.54495,27.56185,0.2900000000000027
2019-06-25 11:00:00,27.42,27.275,26.6438,28.07,0.14500000000000313
2019-06-25 11:10:00,28.22,27.57,26.95,28.12,0.6499999999999986
2019-06-25 11:20:00,27.49,28.069999999999997,27.3,28.6974,0.5799999999999983
2019-06-25 11:30:00,28.07,28.36,27.77,28.8595,0.28999999999999915
2019-06-25 11:40:00,28.77,28.52,28.0229,29.06,0.25
2019-06-25 11:50:00,28.52,28.78,28.0124,29.216,0.26000000000000156
2019-06-25 12:00:00,28.74,28.82,28.03,29.53605,0.08000000000000185
2019-06-25 12:10:00,29.42,28.935,28.207,29.804749999999988,0.485000000000003
2019-06-25 12:20:00,29.12,28.935,28.48,29.37,0.18500000000000227
2019-06-25 12:30:00,28.77,29.33,28.35025,30.05,0.5599999999999987
2019-06-25 12:40:00,29.39,29.205000000000002,28.5,29.97,0.18499999999999872
2019-06-25 12:50:00,29.07,29.21,28.9266,29.87,0.14000000000000057
2019-06-25 13:00:00,29.45,29.3,28.8342,29.958799999999997,0.14999999999999858
2019-06-25 13:10:00,29.73,29.479999999999997,28.5443,30.160800000000002,0.25000000000000355
2019-06-25 13:20:00,29.79,29.62,28.99,30.23,0.16999999999999815
2019-06-25 13:30:00,30.05,29.85,29.26795,30.744950000000003,0.1999999999999993
2019-06-25 13:40:00,30.07,30.24,29.65,30.7,0.16999999999999815
2019-06-25 13:50:00,29.88,30.35,29.29,31.132599999999996,0.4700000000000024
2019-06-25 14:00:00,30.29,30.28,29.64,30.89,0.00999999999999801
2019-06-25 14:10:00,30.32,30.44,29.94,30.956799999999994,0.120000000000001
2019-06-25 14:20:00,30.46,30.45,29.99,31.21,0.010000000000001563
2019-06-25 14:30:00,30.69,30.59,29.37,31.10755,0.10000000000000142
2019-06-25 14:40:00,30.71,30.8,30.3,31.29,0.08999999999999986
2019-06-25 14:50:00,30.8,31.06,30.08,31.7578,0.259999999999998
2019-06-25 15:00:00,31.17,31.375,30.755,31.91,0.2049999999999983
2019-06-25 15:10:00,31.37,31.335,30.60435,31.95,0.03500000000000014
2019-06-25 15:20:00,31.57,31.44,30.35,32.51,0.129999999999999
2019-06-25 15:30:00,31.7,31.69,30.96,32.37,0.00999999999999801
2019-06-25 15:40:00,32.05,31.895,31.36,33.3883,0.15499999999999758
2019-06-25 15:50:00,32.11,31.889999999999997,31.54,33.45785,0.22000000000000242
2019-06-25 16:00:00,31.92,32.245,31.7619,33.09145,0.32499999999999574
2019-06-25 16:10:00,32.22,32.39,31.76,34.03,0.1700000000000017
2019-06-25 16:20:00,32.19,32.52,31.8135,33.2195,0.3300000000000054
2019-06-25 16:30:00,32.31,32.365,31.63,33.198649999999994,0.054999999999999716
2019-06-25 16:40:00,32.45,32.489999999999995,31.747,33.382999999999996,0.03999999999999204
2019-06-25 16:50:00,32.66,32.504999999999995,31.74,33.1894,0.15500000000000114
2019-06-25 17:00:00,32.7,32.71,32.20105,32.92,0.00999999999999801
2019-06-25 17:10:00,32.6,32.72,32.03,32.995200000000004,0.11999999999999744
2019-06-25 17:20:00,32.66,32.745000000000005,31.928,33.4445,0.08500000000000796
2019-06-25 17:30:00,32.73,32.71,31.924400000000002,33.088800000000006,0.01999999999999602
2019-06-25 17:40:00,32.56,32.56,32.10145,33.06825,0.0
2019-06-25 17:50:00,32.59,32.54,32.1132,33.23,0.05000000000000426
2019-06-25 18:00:00,32.35,32.65,31.83975,33.228249999999996,0.29999999999999716
2019-06-25 18:10:00,32.42,32.51,31.0,33.13,0.0899999999999963
2019-06-25 18:20:00,32.52,32.629999999999995,31.81,33.3779,0.10999999999999233
2019-06-25 18:30:00,32.6,32.78,32.0705,33.4,0.17999999999999972
2019-06-25 18:40:00,32.49,32.714999999999996,32.2,33.4,0.22499999999999432
2019-06-25 18:50:00,32.4,32.805,32.2,33.4,0.40500000000000114
2019-06-25 19:00:00,32.49,32.44,31.9123,33.20584999999999,0.05000000000000426
2019-06-25 19:10:00,32.38,32.235,31.3544,33.01,0.14500000000000313
2019-06-25 19:20:00,32.26,32.08,31.47,32.77,0.17999999999999972
2019-06-25 19:30:00,31.76,31.75,30.78,32.51,0.010000000000001563
2019-06-25 19:40:00,31.77,31.515,30.82,32.06,0.254999999999999
2019-06-25 19:50:00,31.09,30.945,30.61,31.53,0.14499999999999957
2019-06-25 20:00:00,30.28,30.63,29.5788,31.1078,0.34999999999999787
2019-06-25 20:10:00,30.19,30.25,29.91225,30.75,0.05999999999999872
2019-06-25 20:20:00,29.9,29.59,29.112,30.162000000000003,0.3099999999999987
2019-06-25 20:30:00,29.39,29.11,28.73,29.57,0.28000000000000114
2019-06-25 20:40:00,28.63,28.825,28.3593,29.5,0.19500000000000028
2019-06-25 20:50:00,27.91,28.08,27.7,28.38,0.16999999999999815
2019-06-25 21:00:00,27.41,27.6,27.055,27.88,0.19000000000000128
2019-06-25 21:10:00,26.94,27.13,26.7919,27.55624999999999,0.18999999999999773
2019-06-25 21:20:00,26.49,26.51,26.17,26.94,0.020000000000003126
2019-06-25 21:30:00,26.11,26.01,25.77,26.17,0.09999999999999787
2019-06-25 21:40:00,25.76,25.68,25.3,26.23,0.08000000000000185
2019-06-25 21:50:00,25.2,25.24,25.02,25.47,0.03999999999999915
2019-06-25 22:00:00,24.86,24.785,24.5812,25.13,0.07499999999999929
2019-06-25 22:10:00,24.52,24.61,24.23,24.84,0.08999999999999986
2019-06-25 22:20:00,24.31,24.075,23.78,24.56,0.23499999999999943
2019-06-25 22:30:00,24.04,24.084999999999997,23.63,24.37,0.04499999999999815
2019-06-25 22:40:00,23.86,23.76,23.53,24.01,0.09999999999999787
2019-06-25 22:50:00,23.71,23.505,23.2564,23.6884,0.20500000000000185
2019-06-25 23:00:00,23.33,23.244999999999997,23.0115,23.6,0.08500000000000085
2019-06-25 23:10:00,22.86,23.02,22.7506,23.16,0.16000000000000014
2019-06-25 23:20:00,22.58,22.69,22.427,23.0858,0.11000000000000298
2019-06-25 23:30:00,22.47,22.56,22.34,22.84,0.08999999999999986
2019-06-25 23:40:00,22.34,22.384999999999998,21.82445,22.62405,0.04499999999999815
2019-06-25 23:50:00,22.26,22.03,21.8454,22.2,0.23000000000000043
2019-06-26 00:00:00,21.98,21.83,21.675250000000002,22.39,0.15000000000000213
2019-06-26 00:10:00,21.68,21.77,21.5028,22.07,0.08999999999999986
2019-06-26 00:20:00,21.57,21.67,21.3,22.03905,0.10000000000000142
2019-06-26 00:30:00,21.32,21.36,21.12,21.57,0.03999999999999915
2019-06-26 00:40:00,21.09,21.24,20.77,21.45,0.14999999999999858
2019-06-26 00:50:00,21.16,21.185,20.93,21.47,0.02499999999999858
2019-06-26 01:00:00,21.24,21.01,20.52,21.1998,0.22999999999999687
2019-06-26 01:10:00,21.01,20.97,20.7008,21.25,0.0400000000000027
2019-06-26 01:20:00,20.79,20.85,20.62,21.05,0.060000000000002274
2019-06-26 01:30:00,20.68,20.7,20.48,20.8489,0.019999999999999574
2019-06-26 01:40:00,20.62,20.58,20.26,20.73,0.0400000000000027
2019-06-26 01:50:00,20.55,20.42,20.12,20.78,0.129999999999999
