Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,22.64,22.81,22.5784,22.9,0.16999999999999815
2019-06-25 00:15:00,22.57,22.57,22.25,23.049599999999998,0.0
2019-06-25 00:25:00,22.36,22.46,22.3,22.7509,0.10000000000000142
2019-06-25 00:35:00,22.44,22.285,22.058400000000002,22.68,0.15500000000000114
2019-06-25 00:45:00,22.26,22.2,21.94,22.45,0.060000000000002274
2019-06-25 00:55:00,22.12,22.13,21.88195,22.45,0.00999999999999801
2019-06-25 01:05:00,21.95,21.95,21.73,22.12,0.0
2019-06-25 01:15:00,21.92,21.85,21.68195,22.124149999999997,0.07000000000000028
2019-06-25 01:25:00,21.74,21.73,21.55,21.91,0.00999999999999801
2019-06-25 01:35:00,21.64,21.69,21.42435,21.77,0.05000000000000071
2019-06-25 01:45:00,21.43,21.38,21.3,21.602999999999998,0.05000000000000071
2019-06-25 01:55:00,21.27,21.24,21.04,21.42,0.030000000000001137
2019-06-25 02:05:00,21.09,21.07,20.8642,21.72,0.019999999999999574
2019-06-25 02:15:00,20.91,20.935000000000002,20.68,21.17,0.02500000000000213
2019-06-25 02:25:00,20.78,20.74,20.5909,20.91,0.0400000000000027
2019-06-25 02:35:00,20.55,20.58,20.38,20.678449999999998,0.029999999999997584
2019-06-25 02:45:00,20.47,20.44,20.19,20.59,0.029999999999997584
2019-06-25 02:55:00,20.23,20.36,20.12,20.67,0.129999999999999
2019-06-25 03:05:00,20.24,20.255000000000003,19.9,20.54,0.015000000000004121
2019-06-25 03:15:00,20.16,20.15,20.01,20.37,0.010000000000001563
2019-06-25 03:25:00,20.01,20.03,19.82125,20.31,0.019999999999999574
2019-06-25 03:35:00,20.05,19.93,19.83,20.075999999999997,0.120000000000001
2019-06-25 03:45:00,19.82,19.93,19.7639,20.267899999999997,0.10999999999999943
2019-06-25 03:55:00,19.75,19.71,19.61,20.02,0.03999999999999915
2019-06-25 04:05:00,19.62,19.700000000000003,19.5614,19.86,0.08000000000000185
2019-06-25 04:15:00,19.54,19.69,19.53,19.86,0.15000000000000213
2019-06-25 04:25:00,19.53,19.619999999999997,19.4525,19.8,0.0899999999999963
2019-06-25 04:35:00,19.57,19.61,19.29,19.868,0.03999999999999915
2019-06-25 04:45:00,19.4,19.51,19.26,19.764799999999997,0.11000000000000298
2019-06-25 04:55:00,19.44,19.45,19.1808,19.61,0.00999999999999801
2019-06-25 05:05:00,19.58,19.435,19.26,19.6087,0.14499999999999957
2019-06-25 05:15:00,19.47,19.29,19.21,19.48,0.17999999999999972
2019-06-25 05:25:00,19.5,19.3,19.21,19.49,0.1999999999999993
2019-06-25 05:35:00,19.14,19.21,19.13,19.4,0.07000000000000028
2019-06-25 05:45:00,19.14,19.16,18.97,19.41,0.019999999999999574
2019-06-25 05:55:00,19.05,19.16,18.97,19.41,0.10999999999999943
2019-06-25 06:05:00,19.03,19.13,18.97,19.41,0.09999999999999787
2019-06-25 06:15:00,19.16,19.17,19.13,19.4,0.010000000000001563
2019-06-25 06:25:00,19.34,19.29,19.081149999999997,19.49,0.05000000000000071
2019-06-25 06:35:00,19.46,19.45,19.24,19.57,0.010000000000001563
2019-06-25 06:45:00,19.68,19.69,19.49,19.86,0.010000000000001563
2019-06-25 06:55:00,19.82,19.75,19.5733,19.99,0.07000000000000028
2019-06-25 07:05:00,19.95,19.89,19.67,20.04,0.05999999999999872
2019-06-25 07:15:00,20.08,20.145,19.81,20.39,0.06500000000000128
2019-06-25 07:25:00,20.27,20.27,19.81,20.52,0.0
2019-06-25 07:35:00,20.4,20.42,20.26,20.5592,0.020000000000003126
2019-06-25 07:45:00,20.62,20.51,20.03,20.84,0.10999999999999943
2019-06-25 07:55:00,20.86,20.97,20.6,21.2578,0.10999999999999943
2019-06-25 08:05:00,21.02,21.01,20.81,21.38,0.00999999999999801
2019-06-25 08:15:00,21.26,21.28,20.86,21.77,0.019999999999999574
2019-06-25 08:25:00,21.65,21.6,21.23,22.47214999999998,0.04999999999999716
2019-06-25 08:35:00,21.83,21.67,21.51,22.54,0.1599999999999966
2019-06-25 08:45:00,22.15,22.28,21.88,22.77,0.13000000000000256
2019-06-25 08:55:00,22.46,22.5,22.15,22.78,0.03999999999999915
2019-06-25 09:05:00,22.6,22.95,22.51,23.148,0.34999999999999787
2019-06-25 09:15:00,23.22,23.405,23.04,23.97,0.18500000000000227
2019-06-25 09:25:00,23.46,23.75,23.16,24.42,0.28999999999999915
2019-06-25 09:35:00,25.06,24.200000000000003,23.88,25.41,0.8599999999999959
2019-06-25 09:45:00,24.99,24.919999999999998,24.57,25.33,0.07000000000000028
2019-06-25 09:55:00,24.63,25.430000000000003,24.85,26.163600000000002,0.8000000000000043
2019-06-25 10:05:00,26.32,26.23,25.74,27.11,0.08999999999999986
2019-06-25 10:15:00,27.94,26.4,25.7712,27.2,1.5400000000000027
2019-06-25 10:25:00,25.56,26.81,26.16,27.35,1.25
2019-06-25 10:35:00,28.18,27.02,26.32,28.35,1.1600000000000001
2019-06-25 10:45:00,26.62,27.21,26.37,28.09,0.5899999999999999
2019-06-25 10:55:00,27.04,27.84,26.7096,28.1484,0.8000000000000007
2019-06-25 11:05:00,27.98,27.86,27.1,29.0164,0.120000000000001
2019-06-25 11:15:00,27.63,28.35,27.76,28.94,0.7200000000000024
2019-06-25 11:25:00,29.88,28.99,28.2,30.06,0.8900000000000006
2019-06-25 11:35:00,29.33,29.689999999999998,28.91,30.23,0.35999999999999943
2019-06-25 11:45:00,29.37,30.16,29.6796,30.87,0.7899999999999991
2019-06-25 11:55:00,30.22,30.86,29.73,31.41,0.6400000000000006
2019-06-25 12:05:00,31.56,30.74,30.12,32.06,0.8200000000000003
2019-06-25 12:15:00,33.12,31.3,29.9483,31.9462,1.8199999999999967
2019-06-25 12:25:00,31.05,31.369999999999997,30.25,32.43,0.31999999999999673
2019-06-25 12:35:00,30.96,31.52,30.30445,32.24845,0.5599999999999987
2019-06-25 12:45:00,31.6,31.74,31.381249999999998,32.70875,0.13999999999999702
2019-06-25 12:55:00,30.84,31.570000000000004,30.96,32.3266,0.730000000000004
2019-06-25 13:05:00,31.56,32.38,31.57295,33.08,0.8200000000000038
2019-06-25 13:15:00,32.39,32.61,31.82,33.47,0.21999999999999886
2019-06-25 13:25:00,34.03,33.97,32.81,34.3,0.060000000000002274
2019-06-25 13:35:00,34.08,33.73,32.91,34.4153,0.3500000000000014
2019-06-25 13:45:00,33.51,34.14,33.2845,35.05,0.6300000000000026
2019-06-25 13:55:00,35.28,34.15,33.06,35.0225,1.1300000000000026
2019-06-25 14:05:00,33.96,34.45,33.06,35.13,0.490000000000002
2019-06-25 14:15:00,34.11,34.644999999999996,33.74,35.18,0.5349999999999966
2019-06-25 14:25:00,34.12,34.68,34.13305,35.158249999999995,0.5600000000000023
2019-06-25 14:35:00,34.17,34.59,34.04585,35.08025,0.4200000000000017
2019-06-25 14:45:00,36.37,34.730000000000004,33.25,35.59215,1.6399999999999935
2019-06-25 14:55:00,34.17,33.91,33.7,34.57,0.2600000000000051
2019-06-25 15:05:00,33.6,33.7,33.22,34.44,0.10000000000000142
2019-06-25 15:15:00,32.8,33.77,32.92,34.12,0.970000000000006
2019-06-25 15:25:00,32.87,33.22,32.76025,34.3,0.3500000000000014
2019-06-25 15:35:00,32.63,33.22,32.54,34.3,0.5899999999999963
2019-06-25 15:45:00,32.97,33.2,32.2,34.3,0.23000000000000398
2019-06-25 15:55:00,33.32,33.22,32.66,34.3,0.10000000000000142
2019-06-25 16:05:00,33.12,33.235,32.66,34.3,0.11500000000000199
2019-06-25 16:15:00,33.15,33.235,32.562799999999996,34.3,0.08500000000000085
2019-06-25 16:25:00,33.25,33.22,32.92,34.3,0.030000000000001137
