Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,22.12,22.26,22.01,22.545499999999997,0.14000000000000057
2019-06-25 00:15:00,21.98,22.1,21.99,22.44,0.120000000000001
2019-06-25 00:25:00,22.03,22.02,21.63,22.2785,0.010000000000001563
2019-06-25 00:35:00,22.03,22.07,21.6386,22.28,0.03999999999999915
2019-06-25 00:45:00,21.88,21.8,21.543650000000003,21.966099999999997,0.0799999999999983
2019-06-25 00:55:00,21.72,21.73,21.4942,21.87,0.010000000000001563
2019-06-25 01:05:00,21.67,21.56,21.45,21.88,0.11000000000000298
2019-06-25 01:15:00,21.5,21.38,21.25,21.81,0.120000000000001
2019-06-25 01:25:00,21.46,21.47,21.16,21.6611,0.00999999999999801
2019-06-25 01:35:00,21.25,21.48,21.272,21.68,0.23000000000000043
2019-06-25 01:45:00,21.25,21.27,21.0714,21.42,0.019999999999999574
2019-06-25 01:55:00,21.29,21.16,20.96,21.34,0.129999999999999
2019-06-25 02:05:00,21.18,21.05,20.89095,21.4,0.129999999999999
2019-06-25 02:15:00,20.94,20.91,20.63,21.17,0.030000000000001137
2019-06-25 02:25:00,20.69,20.755000000000003,20.52,21.02505,0.06500000000000128
2019-06-25 02:35:00,20.49,20.58,20.48,20.76,0.08999999999999986
2019-06-25 02:45:00,20.52,20.515,20.42,20.62,0.004999999999999005
2019-06-25 02:55:00,20.39,20.44,20.26,20.63,0.05000000000000071
2019-06-25 03:05:00,20.19,20.44,20.25,20.588,0.25
2019-06-25 03:15:00,20.54,20.395,20.12,20.626549999999998,0.14499999999999957
2019-06-25 03:25:00,20.67,20.28,20.12,20.64,0.39000000000000057
2019-06-25 03:35:00,20.54,20.27,20.16,20.54,0.2699999999999996
2019-06-25 03:45:00,20.24,20.14,19.923000000000002,20.2895,0.09999999999999787
2019-06-25 03:55:00,19.88,19.94,19.67,20.089,0.060000000000002274
2019-06-25 04:05:00,19.62,19.68,19.59,19.87,0.05999999999999872
2019-06-25 04:15:00,19.53,19.63,19.5,19.86,0.09999999999999787
2019-06-25 04:25:00,19.4,19.41,19.24,19.58,0.010000000000001563
2019-06-25 04:35:00,19.27,19.225,19.13,19.49,0.04499999999999815
2019-06-25 04:45:00,19.17,19.19,19.082849999999997,19.42,0.019999999999999574
2019-06-25 04:55:00,19.11,19.16,19.03,19.42,0.05000000000000071
2019-06-25 05:05:00,18.92,19.16,18.96,19.4186,0.23999999999999844
2019-06-25 05:15:00,19.33,19.08,18.69,19.2,0.25
2019-06-25 05:25:00,18.94,19.02,18.69,19.2,0.0799999999999983
2019-06-25 05:35:00,19.14,19.02,18.6991,19.1987,0.120000000000001
2019-06-25 05:45:00,19.03,19.02,18.69,19.2,0.010000000000001563
2019-06-25 05:55:00,19.0,19.08,18.69,19.2,0.0799999999999983
2019-06-25 06:05:00,18.96,19.16,18.96,19.42,0.1999999999999993
2019-06-25 06:15:00,19.17,19.16,19.0208,19.42,0.010000000000001563
2019-06-25 06:25:00,19.37,19.29,19.0823,19.48385,0.08000000000000185
2019-06-25 06:35:00,19.49,19.34,19.09,19.5785,0.14999999999999858
2019-06-25 06:45:00,19.49,19.69,19.5426,19.86,0.20000000000000284
2019-06-25 06:55:00,19.7,19.75,19.5121,19.99,0.05000000000000071
2019-06-25 07:05:00,19.75,19.93,19.67,20.09,0.17999999999999972
2019-06-25 07:15:00,20.39,20.08,19.81,20.372799999999998,0.3100000000000023
2019-06-25 07:25:00,20.47,20.27,20.128,20.64,0.1999999999999993
2019-06-25 07:35:00,20.59,20.470000000000002,20.03,20.69,0.11999999999999744
2019-06-25 07:45:00,20.8,20.814999999999998,20.52,21.06,0.014999999999997016
2019-06-25 07:55:00,20.81,21.04,20.82,21.38,0.23000000000000043
2019-06-25 08:05:00,21.18,21.43,20.86,21.73,0.25
2019-06-25 08:15:00,21.67,21.73,21.23,21.93125,0.05999999999999872
2019-06-25 08:25:00,22.12,22.0,21.5,22.44,0.120000000000001
2019-06-25 08:35:00,22.93,22.57,22.24,22.98,0.35999999999999943
2019-06-25 08:45:00,23.0,23.12,22.51,23.52,0.120000000000001
2019-06-25 08:55:00,22.83,23.34,22.61,24.0046,0.5100000000000016
2019-06-25 09:05:00,24.42,23.765,23.33,24.36,0.6550000000000011
2019-06-25 09:15:00,24.35,24.3,23.84,25.02,0.05000000000000071
2019-06-25 09:25:00,23.88,24.415000000000003,23.7638,25.06,0.5350000000000037
2019-06-25 09:35:00,25.0,24.765,24.06,25.66,0.23499999999999943
2019-06-25 09:45:00,25.24,25.14,24.31,25.64,0.09999999999999787
2019-06-25 09:55:00,25.42,25.49,24.63,26.09,0.06999999999999673
2019-06-25 10:05:00,26.08,26.134999999999998,25.074650000000002,26.73,0.054999999999999716
2019-06-25 10:15:00,26.4,26.36,25.622,27.38,0.03999999999999915
2019-06-25 10:25:00,26.46,26.51,25.955099999999998,27.94,0.05000000000000071
2019-06-25 10:35:00,26.36,26.82,26.18,27.430200000000003,0.46000000000000085
2019-06-25 10:45:00,26.73,26.94,26.46,28.18,0.21000000000000085
2019-06-25 10:55:00,27.25,27.154999999999998,26.62,28.08325,0.09500000000000242
2019-06-25 11:05:00,27.96,27.28,26.76,28.041249999999994,0.6799999999999997
2019-06-25 11:15:00,27.84,27.83,27.42,28.38,0.010000000000001563
2019-06-25 11:25:00,27.99,28.16,27.68,29.29,0.1700000000000017
2019-06-25 11:35:00,28.59,28.83,28.14345,29.72,0.23999999999999844
2019-06-25 11:45:00,28.92,29.0,28.11255,29.88,0.0799999999999983
2019-06-25 11:55:00,28.81,29.09,28.39,29.802999999999994,0.28000000000000114
2019-06-25 12:05:00,29.96,29.685,28.2354,30.2643,0.27500000000000213
2019-06-25 12:15:00,29.26,29.74,28.87,30.341250000000002,0.4799999999999969
2019-06-25 12:25:00,30.34,30.0,28.81,30.68,0.33999999999999986
2019-06-25 12:35:00,30.45,30.1,29.2758,31.064150000000005,0.34999999999999787
2019-06-25 12:45:00,30.39,30.66,30.06,31.78,0.2699999999999996
2019-06-25 12:55:00,31.08,31.29,30.174599999999998,33.12,0.21000000000000085
2019-06-25 13:05:00,31.87,31.56,30.25925,32.43,0.3100000000000023
2019-06-25 13:15:00,31.63,31.985,30.8647,32.454299999999996,0.3550000000000004
2019-06-25 13:25:00,31.92,31.9,31.16,32.69899999999999,0.020000000000003126
2019-06-25 13:35:00,32.71,32.38,31.44,33.0723,0.3299999999999983
2019-06-25 13:45:00,31.87,32.18,31.44,32.89,0.3099999999999987
2019-06-25 13:55:00,32.66,32.185,31.17,33.011500000000005,0.4749999999999943
2019-06-25 14:05:00,31.91,32.239999999999995,31.3998,32.907799999999995,0.32999999999999474
2019-06-25 14:15:00,32.4,32.69,32.07,33.231,0.28999999999999915
2019-06-25 14:25:00,31.73,32.83,32.14,33.830650000000006,1.0999999999999979
2019-06-25 14:35:00,33.22,33.64,32.54,34.0232,0.4200000000000017
2019-06-25 14:45:00,34.13,33.44,32.775400000000005,34.46,0.6900000000000048
2019-06-25 14:55:00,33.7,33.76,33.22,34.5884,0.05999999999999517
2019-06-25 15:05:00,34.39,33.96,33.343650000000004,34.6899,0.4299999999999997
2019-06-25 15:15:00,35.06,34.405,32.91,34.77,0.6550000000000011
2019-06-25 15:25:00,33.74,34.04,33.37505,35.05,0.29999999999999716
2019-06-25 15:35:00,33.11,34.080000000000005,33.64,34.759,0.970000000000006
2019-06-25 15:45:00,33.74,34.055,33.6244,34.759,0.3149999999999977
2019-06-25 15:55:00,33.49,33.77,33.46,34.425999999999995,0.28000000000000114
2019-06-25 16:05:00,34.18,34.1,33.71,34.8624,0.0799999999999983
2019-06-25 16:15:00,34.44,34.615,33.13,34.84835,0.17500000000000426
2019-06-25 16:25:00,34.43,34.69,34.2111,35.0178,0.259999999999998
2019-06-25 16:35:00,35.3,34.81,34.31,35.06,0.4899999999999949
2019-06-25 16:45:00,35.47,34.59,34.46,35.06,0.8799999999999955
2019-06-25 16:55:00,35.03,34.6,33.98,35.06,0.4299999999999997
2019-06-25 17:05:00,34.77,34.925,34.091,35.630399999999995,0.15499999999999403
2019-06-25 17:15:00,34.53,34.925,34.556599999999996,35.645599999999995,0.394999999999996
2019-06-25 17:25:00,34.42,35.01,34.54,35.595499999999994,0.5899999999999963
2019-06-25 17:35:00,34.78,34.830000000000005,34.3697,35.768299999999996,0.05000000000000426
2019-06-25 17:45:00,35.21,35.23,34.67,36.28,0.01999999999999602
2019-06-25 17:55:00,35.61,35.23,34.7034,35.752199999999995,0.38000000000000256
2019-06-25 18:05:00,36.03,35.21,34.53,35.9678,0.8200000000000003
2019-06-25 18:15:00,35.26,35.18,34.53,35.97,0.0799999999999983
2019-06-25 18:25:00,35.27,35.29,34.5456,35.96,0.01999999999999602
2019-06-25 18:35:00,34.49,34.88,34.5225,35.3,0.39000000000000057
2019-06-25 18:45:00,35.39,34.88,34.33645,35.279250000000005,0.509999999999998
2019-06-25 18:55:00,34.61,34.48,34.24,35.26195,0.13000000000000256
2019-06-25 19:05:00,33.67,34.14,33.82,34.483000000000004,0.46999999999999886
2019-06-25 19:15:00,34.3,33.965,33.69,34.3182,0.33499999999999375
2019-06-25 19:25:00,33.96,33.695,32.999,34.66,0.26500000000000057
2019-06-25 19:35:00,33.02,33.37,32.87,33.8595,0.3499999999999943
2019-06-25 19:45:00,32.7,33.14,32.59,34.0225,0.4399999999999977
2019-06-25 19:55:00,32.69,32.71,31.9306,33.17235,0.020000000000003126
2019-06-25 20:05:00,32.7,32.574999999999996,31.37,33.22,0.1250000000000071
2019-06-25 20:15:00,32.33,32.265,31.47,33.85015,0.06499999999999773
2019-06-25 20:25:00,32.07,31.97,31.18635,32.57,0.10000000000000142
2019-06-25 20:35:00,31.54,31.71,31.17,32.075199999999995,0.1700000000000017
2019-06-25 20:45:00,31.35,31.33,30.882,31.872,0.020000000000003126
2019-06-25 20:55:00,30.97,31.02,30.28,31.78,0.05000000000000071
2019-06-25 21:05:00,30.8,30.59,29.9186,31.48,0.21000000000000085
2019-06-25 21:15:00,30.14,29.92,28.81,30.54,0.21999999999999886
2019-06-25 21:25:00,29.47,29.5,28.82,29.75,0.030000000000001137
2019-06-25 21:35:00,28.83,28.88,28.7539,29.3518,0.05000000000000071
2019-06-25 21:45:00,28.26,28.41,28.112099999999998,29.0216,0.14999999999999858
2019-06-25 21:55:00,27.81,27.85,27.51,28.12,0.0400000000000027
2019-06-25 22:05:00,27.54,27.61,27.0693,28.14,0.07000000000000028
2019-06-25 22:15:00,27.16,27.175,26.87,27.4458,0.015000000000000568
2019-06-25 22:25:00,26.83,26.795,26.59,26.96,0.03499999999999659
2019-06-25 22:35:00,26.57,26.56,26.37,26.843600000000002,0.010000000000001563
2019-06-25 22:45:00,26.4,26.28,25.94,26.6,0.11999999999999744
2019-06-25 22:55:00,25.91,26.01,25.57,26.83,0.10000000000000142
2019-06-25 23:05:00,25.6,25.654999999999998,25.3,26.085449999999998,0.05499999999999616
2019-06-25 23:15:00,25.33,25.41,25.01405,25.667849999999998,0.08000000000000185
2019-06-25 23:25:00,25.1,24.995,24.821,25.36825,0.10500000000000043
2019-06-25 23:35:00,24.9,24.78,24.66,25.1252,0.11999999999999744
2019-06-25 23:45:00,24.74,24.72,23.8,25.3176,0.019999999999999574
2019-06-25 23:55:00,24.54,24.58,24.36,24.74,0.03999999999999915
2019-06-26 00:05:00,24.41,24.42,24.3012,24.5797,0.010000000000001563
2019-06-26 00:15:00,24.2,24.24,24.0,25.17,0.03999999999999915
2019-06-26 00:25:00,24.07,24.26,23.947200000000002,24.5,0.19000000000000128
2019-06-26 00:35:00,23.9,23.8,23.6,24.04,0.09999999999999787
2019-06-26 00:45:00,23.75,23.655,23.5514,23.89,0.09499999999999886
2019-06-26 00:55:00,23.52,23.6,23.352400000000003,24.18,0.08000000000000185
2019-06-26 01:05:00,23.33,23.37,23.011750000000003,23.633,0.0400000000000027
2019-06-26 01:15:00,23.24,23.22,23.0,23.35,0.019999999999999574
2019-06-26 01:25:00,23.12,23.095000000000002,22.89,23.22,0.02499999999999858
2019-06-26 01:35:00,23.0,23.07,22.8811,23.2989,0.07000000000000028
2019-06-26 01:45:00,22.89,22.94,22.6124,23.09,0.05000000000000071
2019-06-26 01:55:00,22.74,22.68,22.51,22.959649999999996,0.05999999999999872
2019-06-26 02:05:00,22.72,22.69,22.38,22.89,0.029999999999997584
2019-06-26 02:15:00,22.57,22.52,22.19,22.63,0.05000000000000071
2019-06-26 02:25:00,22.55,22.38,22.2,22.63,0.1700000000000017
2019-06-26 02:35:00,22.26,22.23,22.1,22.563499999999998,0.030000000000001137
2019-06-26 02:45:00,22.01,22.12,21.92,22.24,0.10999999999999943
2019-06-26 02:55:00,21.88,22.005,21.8158,22.32,0.125
2019-06-26 03:05:00,21.82,21.985,21.67,22.166300000000003,0.16499999999999915
2019-06-26 03:15:00,21.85,21.82,21.53,22.04,0.030000000000001137
2019-06-26 03:25:00,21.88,21.72,21.53,21.948,0.16000000000000014
2019-06-26 03:35:00,21.71,21.73,21.5455,21.8607,0.019999999999999574
2019-06-26 03:45:00,21.79,21.56,21.45,21.92,0.23000000000000043
2019-06-26 03:55:00,21.61,21.57,21.32,22.04,0.03999999999999915
2019-06-26 04:05:00,21.45,21.46,21.16,21.8702,0.010000000000001563
2019-06-26 04:15:00,21.33,21.4,21.16,21.668200000000002,0.07000000000000028
2019-06-26 04:25:00,21.39,21.41,21.22,21.56,0.019999999999999574
2019-06-26 04:35:00,21.45,21.47,21.29,21.68,0.019999999999999574
2019-06-26 04:45:00,21.47,21.380000000000003,21.21105,21.68,0.0899999999999963
2019-06-26 04:55:00,21.28,21.29,20.971799999999998,21.42,0.00999999999999801
2019-06-26 05:05:00,21.3,21.19,20.92,21.337,0.10999999999999943
2019-06-26 05:15:00,21.06,21.115,20.96155,21.218449999999997,0.054999999999999716
2019-06-26 05:25:00,20.97,21.025000000000002,20.8346,21.21,0.05500000000000327
2019-06-26 05:35:00,20.88,20.994999999999997,20.8719,21.4,0.11499999999999844
2019-06-26 05:45:00,20.91,20.99,20.65,21.168000000000003,0.0799999999999983
2019-06-26 05:55:00,21.01,20.99,20.83,21.21,0.020000000000003126
2019-06-26 06:05:00,21.01,21.07,20.81,21.25505,0.05999999999999872
2019-06-26 06:15:00,21.13,21.14,20.97,21.349,0.010000000000001563
2019-06-26 06:25:00,21.4,21.35,20.86,21.68,0.04999999999999716
2019-06-26 06:35:00,21.61,21.51,21.23,21.92,0.09999999999999787
2019-06-26 06:45:00,21.67,21.7,21.37,22.04,0.029999999999997584
2019-06-26 06:55:00,21.87,21.97,21.6524,22.07,0.09999999999999787
2019-06-26 07:05:00,22.23,22.15,21.86,22.58,0.08000000000000185
2019-06-26 07:15:00,22.46,22.43,22.19,22.6588,0.030000000000001137
2019-06-26 07:25:00,22.89,22.76,22.5,23.13,0.129999999999999
2019-06-26 07:35:00,22.81,22.98,22.76,23.52,0.1700000000000017
2019-06-26 07:45:00,23.36,23.34,22.6346,23.72,0.019999999999999574
2019-06-26 07:55:00,23.56,23.805,23.52,24.319199999999995,0.245000000000001
2019-06-26 08:05:00,24.03,24.18,23.5776,24.5,0.14999999999999858
2019-06-26 08:15:00,24.42,24.51,24.1376,24.9043,0.08999999999999986
2019-06-26 08:25:00,25.13,24.925,24.5991,25.5409,0.2049999999999983
2019-06-26 08:35:00,25.53,25.42,24.66,25.808,0.10999999999999943
2019-06-26 08:45:00,25.97,25.875,25.36025,26.45,0.09499999999999886
2019-06-26 08:55:00,26.54,26.53,25.94,26.93,0.00999999999999801
2019-06-26 09:05:00,26.88,26.84,26.47,27.44,0.03999999999999915
2019-06-26 09:15:00,26.94,27.29,26.87925,28.06,0.34999999999999787
2019-06-26 09:25:00,27.92,27.79,27.28,28.15,0.13000000000000256
2019-06-26 09:35:00,27.85,27.985,27.1,28.6332,0.134999999999998
2019-06-26 09:45:00,28.38,28.54,27.657,29.16,0.16000000000000014
2019-06-26 09:55:00,28.72,28.86,28.20175,29.733749999999997,0.14000000000000057
2019-06-26 10:05:00,29.75,29.3,28.65,29.68,0.4499999999999993
2019-06-26 10:15:00,29.82,29.44,29.06,30.064700000000002,0.379999999999999
2019-06-26 10:25:00,30.14,29.93,29.262050000000002,30.57515,0.21000000000000085
2019-06-26 10:35:00,29.99,30.08,28.81,30.53885,0.08999999999999986
2019-06-26 10:45:00,30.04,30.1,29.378400000000003,30.57,0.060000000000002274
2019-06-26 10:55:00,30.15,30.224999999999998,29.8416,30.7836,0.07499999999999929
2019-06-26 11:05:00,30.62,30.5,29.91,31.4632,0.120000000000001
2019-06-26 11:15:00,31.01,30.81,29.75925,31.71,0.20000000000000284
2019-06-26 11:25:00,30.2,30.78,30.12215,32.0,0.5800000000000018
2019-06-26 11:35:00,31.56,31.224999999999998,30.61,32.174099999999996,0.33500000000000085
2019-06-26 11:45:00,30.88,31.675,31.14435,32.3,0.7950000000000017
2019-06-26 11:55:00,31.07,32.14,31.19,32.46,1.0700000000000003
2019-06-26 12:05:00,32.73,32.18,31.47,32.97,0.5499999999999972
2019-06-26 12:15:00,33.54,32.37,31.56,33.2085,1.1700000000000017
2019-06-26 12:25:00,32.89,32.78,32.03805,33.434349999999995,0.10999999999999943
2019-06-26 12:35:00,32.61,33.05,32.27,33.76,0.4399999999999977
2019-06-26 12:45:00,33.01,32.81,32.17485,33.9219,0.19999999999999574
2019-06-26 12:55:00,32.6,32.8,32.16,33.8689,0.19999999999999574
2019-06-26 13:05:00,32.66,33.035000000000004,32.398,33.862,0.3750000000000071
2019-06-26 13:15:00,33.23,33.27,32.34,33.983,0.04000000000000625
2019-06-26 13:25:00,33.77,33.7,33.04155,34.4783,0.07000000000000028
2019-06-26 13:35:00,33.52,34.11,33.3651,34.84,0.5899999999999963
2019-06-26 13:45:00,35.64,34.07,33.154,35.204,1.5700000000000003
2019-06-26 13:55:00,33.74,34.49,33.387950000000004,35.2301,0.75
2019-06-26 14:05:00,34.39,35.08,34.117,35.686,0.6899999999999977
2019-06-26 14:15:00,35.65,35.32,34.6907,36.12,0.3299999999999983
