Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,20.29,20.38,20.27,20.63915,0.08999999999999986
2019-06-25 00:15:00,20.22,20.245,19.85,20.42,0.02500000000000213
2019-06-25 00:25:00,20.36,20.18,19.8628,20.31,0.17999999999999972
2019-06-25 00:35:00,20.09,20.14,19.7812,20.4496,0.05000000000000071
2019-06-25 00:45:00,20.04,20.04,19.95,20.27,0.0
2019-06-25 00:55:00,20.04,20.03,19.82,20.22,0.00999999999999801
2019-06-25 01:05:00,20.18,20.025000000000002,19.65,20.09,0.15499999999999758
2019-06-25 01:15:00,19.91,19.87,19.81,19.969099999999997,0.03999999999999915
2019-06-25 01:25:00,19.64,19.73,19.6,20.05,0.08999999999999986
2019-06-25 01:35:00,19.56,19.62,19.3,19.7,0.060000000000002274
2019-06-25 01:45:00,19.48,19.41,19.04,19.59,0.07000000000000028
2019-06-25 01:55:00,19.41,19.32,19.07,19.453400000000002,0.08999999999999986
2019-06-25 02:05:00,19.2,19.14,19.0,19.27,0.05999999999999872
2019-06-25 02:15:00,18.95,18.994999999999997,18.67,19.05,0.04499999999999815
2019-06-25 02:25:00,18.83,18.81,18.65,19.0,0.019999999999999574
2019-06-25 02:35:00,18.7,18.75,18.58,18.99,0.05000000000000071
2019-06-25 02:45:00,18.52,18.58,18.25,18.86,0.05999999999999872
2019-06-25 02:55:00,18.55,18.57,18.18645,18.86,0.019999999999999574
2019-06-25 03:05:00,18.49,18.46,18.16,18.64925,0.029999999999997584
2019-06-25 03:15:00,18.5,18.43,18.25,18.61,0.07000000000000028
2019-06-25 03:25:00,18.38,18.32,18.1814,18.4686,0.05999999999999872
2019-06-25 03:35:00,18.38,18.35,18.15315,18.42895,0.029999999999997584
2019-06-25 03:45:00,18.28,18.22,18.08,18.49,0.060000000000002274
2019-06-25 03:55:00,18.22,18.09,17.97,18.29,0.129999999999999
2019-06-25 04:05:00,18.01,18.04,17.89,18.1,0.029999999999997584
2019-06-25 04:15:00,17.95,17.96,17.88,18.1,0.010000000000001563
2019-06-25 04:25:00,17.93,17.87,17.7116,18.0,0.05999999999999872
2019-06-25 04:35:00,17.79,17.83,17.71,18.0,0.03999999999999915
2019-06-25 04:45:00,17.7,17.77,17.6266,17.94,0.07000000000000028
2019-06-25 04:55:00,17.72,17.77,17.62,17.94,0.05000000000000071
2019-06-25 05:05:00,18.04,17.7,17.57,17.94,0.33999999999999986
2019-06-25 05:15:00,17.83,17.68,17.5,17.91,0.14999999999999858
2019-06-25 05:25:00,17.69,17.66,17.57,17.91,0.030000000000001137
