Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,22.0,21.81,21.63,22.187900000000003,0.19000000000000128
2019-06-25 00:15:00,21.8,21.775000000000002,21.63075,22.13325,0.02499999999999858
2019-06-25 00:25:00,21.95,21.819999999999997,21.63145,22.14,0.13000000000000256
2019-06-25 00:35:00,21.71,21.67,21.4102,22.0994,0.03999999999999915
2019-06-25 00:45:00,21.62,21.63,21.38,21.97,0.00999999999999801
2019-06-25 00:55:00,21.41,21.53,21.35,21.7881,0.120000000000001
2019-06-25 01:05:00,21.36,21.37,21.25,21.58895,0.010000000000001563
2019-06-25 01:15:00,21.45,21.25,21.01385,21.56,0.1999999999999993
2019-06-25 01:25:00,21.3,21.115,20.8675,21.29,0.18500000000000227
2019-06-25 01:35:00,20.89,21.02,20.64065,21.14,0.129999999999999
2019-06-25 01:45:00,20.78,20.86,20.63,21.07,0.0799999999999983
2019-06-25 01:55:00,20.55,20.67,20.5712,20.860400000000002,0.120000000000001
2019-06-25 02:05:00,20.73,20.51,20.2599,20.81,0.21999999999999886
2019-06-25 02:15:00,20.31,20.4,20.24225,20.61,0.08999999999999986
2019-06-25 02:25:00,20.27,20.3,19.90175,20.53,0.030000000000001137
2019-06-25 02:35:00,20.1,20.19,19.965049999999998,20.36,0.08999999999999986
2019-06-25 02:45:00,20.04,20.16,19.894399999999997,20.33,0.120000000000001
2019-06-25 02:55:00,20.06,20.08,19.91,20.3,0.019999999999999574
2019-06-25 03:05:00,20.01,19.94,19.743599999999997,20.2608,0.07000000000000028
2019-06-25 03:15:00,19.93,19.9,19.7411,20.1256,0.030000000000001137
2019-06-25 03:25:00,19.97,19.77,19.6413,19.987399999999997,0.1999999999999993
2019-06-25 03:35:00,19.65,19.69,19.4475,19.85,0.0400000000000027
2019-06-25 03:45:00,19.68,19.57,19.40045,19.72,0.10999999999999943
2019-06-25 03:55:00,19.37,19.45,19.1,19.7776,0.0799999999999983
2019-06-25 04:05:00,18.97,19.425,19.22,19.63,0.45500000000000185
2019-06-25 04:15:00,19.28,19.28,18.960150000000002,19.5269,0.0
2019-06-25 04:25:00,19.48,19.11,18.8628,19.21,0.370000000000001
2019-06-25 04:35:00,19.35,18.89,18.73,19.25,0.46000000000000085
2019-06-25 04:45:00,18.93,18.66,18.25,18.808799999999998,0.2699999999999996
2019-06-25 04:55:00,18.17,18.33,17.96,18.49,0.1599999999999966
2019-06-25 05:05:00,17.91,18.16,17.95,18.45,0.25
2019-06-25 05:15:00,17.6,17.93,17.71,17.99,0.3299999999999983
2019-06-25 05:25:00,17.38,17.67,17.24,17.85,0.2900000000000027
2019-06-25 05:35:00,17.69,17.45,17.24,17.69,0.240000000000002
2019-06-25 05:45:00,17.38,17.49,17.24,17.6828,0.10999999999999943
2019-06-25 05:55:00,17.48,17.49,17.24,17.6828,0.00999999999999801
2019-06-25 06:05:00,17.57,17.65,17.24,17.71,0.0799999999999983
2019-06-25 06:15:00,17.7,17.785,17.24,18.008200000000002,0.08500000000000085
2019-06-25 06:25:00,17.76,17.92,17.6326,18.169,0.16000000000000014
