Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,19.11,19.16,19.03,19.25,0.05000000000000071
2019-06-25 00:10:00,19.05,19.05,19.0,19.14,0.0
2019-06-25 00:20:00,18.86,18.98,18.87,19.12,0.120000000000001
2019-06-25 00:30:00,18.88,18.89,18.75,19.0,0.010000000000001563
2019-06-25 00:40:00,18.93,18.78,18.7,18.974800000000002,0.14999999999999858
2019-06-25 00:50:00,18.8,18.69,18.581799999999998,18.86,0.10999999999999943
2019-06-25 01:00:00,18.6,18.6,18.480150000000002,18.74,0.0
2019-06-25 01:10:00,18.58,18.55,18.4612,18.7,0.029999999999997584
2019-06-25 01:20:00,18.42,18.49,18.39,18.66,0.06999999999999673
2019-06-25 01:30:00,18.41,18.325,18.19,18.44,0.08500000000000085
2019-06-25 01:40:00,18.31,18.225,18.11,18.4188,0.0849999999999973
2019-06-25 01:50:00,18.21,18.15,17.98,18.3081,0.060000000000002274
2019-06-25 02:00:00,18.07,18.01,17.9109,18.31,0.05999999999999872
2019-06-25 02:10:00,17.89,17.96,17.72,18.07,0.07000000000000028
2019-06-25 02:20:00,17.75,17.81,17.6124,18.04,0.05999999999999872
2019-06-25 02:30:00,17.69,17.62,17.38,17.71,0.07000000000000028
2019-06-25 02:40:00,17.5,17.54,17.311799999999998,17.699099999999998,0.03999999999999915
2019-06-25 02:50:00,17.41,17.41,17.19295,17.66,0.0
2019-06-25 03:00:00,17.31,17.25,17.18,17.52,0.05999999999999872
2019-06-25 03:10:00,17.2,17.22,16.9,17.57,0.019999999999999574
2019-06-25 03:20:00,17.1,17.14,16.9,17.276500000000002,0.03999999999999915
2019-06-25 03:30:00,16.96,17.06,16.8,17.24,0.09999999999999787
2019-06-25 03:40:00,16.96,16.85,16.76,17.24,0.10999999999999943
2019-06-25 03:50:00,16.94,17.13,16.66,17.17,0.18999999999999773
2019-06-25 04:00:00,16.94,16.81,16.57,17.13,0.13000000000000256
2019-06-25 04:10:00,16.87,16.89,16.57,17.03,0.019999999999999574
2019-06-25 04:20:00,16.7,16.81,16.49,17.13,0.10999999999999943
2019-06-25 04:30:00,16.65,16.75,16.39,17.0996,0.10000000000000142
2019-06-25 04:40:00,16.56,16.57,16.39165,16.9568,0.010000000000001563
2019-06-25 04:50:00,16.62,16.76,16.39,16.955599999999997,0.14000000000000057
2019-06-25 05:00:00,16.56,16.75,16.332250000000002,16.89,0.19000000000000128
2019-06-25 05:10:00,16.86,16.64,16.32,16.97,0.21999999999999886
2019-06-25 05:20:00,16.62,16.42,16.29,16.89,0.1999999999999993
2019-06-25 05:30:00,16.51,16.49,16.29,16.89,0.020000000000003126
2019-06-25 05:40:00,16.4,16.455000000000002,16.236,16.89,0.05500000000000327
2019-06-25 05:50:00,16.38,16.395,16.16,16.64,0.015000000000000568
2019-06-25 06:00:00,16.41,16.39,16.22625,16.89,0.019999999999999574
2019-06-25 06:10:00,16.54,16.49,16.273699999999998,16.89,0.05000000000000071
2019-06-25 06:20:00,16.54,16.73,16.49,17.13,0.19000000000000128
2019-06-25 06:30:00,16.76,16.85,16.66,17.24,0.08999999999999986
2019-06-25 06:40:00,17.2,17.29,17.15,17.5,0.08999999999999986
2019-06-25 06:50:00,17.62,17.68,17.46,17.91,0.05999999999999872
2019-06-25 07:00:00,18.22,18.11,17.94,18.45,0.10999999999999943
2019-06-25 07:10:00,18.91,18.7,18.56,19.18,0.21000000000000085
2019-06-25 07:20:00,19.33,19.21,19.04,19.66,0.11999999999999744
2019-06-25 07:30:00,19.91,19.685,19.4631,19.96,0.22500000000000142
2019-06-25 07:40:00,20.33,20.09,19.81,20.31,0.23999999999999844
2019-06-25 07:50:00,20.56,20.525000000000002,20.24,20.67,0.03499999999999659
2019-06-25 08:00:00,20.97,20.82,20.6,20.98,0.14999999999999858
2019-06-25 08:10:00,21.26,21.22,20.87,21.548,0.0400000000000027
2019-06-25 08:20:00,21.41,21.53,21.3017,21.79,0.120000000000001
2019-06-25 08:30:00,21.88,21.824999999999996,21.51,22.074399999999997,0.05500000000000327
2019-06-25 08:40:00,22.22,22.200000000000003,21.9217,22.6896,0.01999999999999602
2019-06-25 08:50:00,22.47,22.56,22.19,22.85,0.08999999999999986
2019-06-25 09:00:00,22.88,22.87,22.484,23.06,0.00999999999999801
2019-06-25 09:10:00,23.24,23.24,22.901799999999998,23.4,0.0
2019-06-25 09:20:00,23.61,23.53,23.1,24.05,0.0799999999999983
