Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,22.54,22.22,21.729899999999997,22.45,0.3200000000000003
2019-06-25 00:10:00,22.16,22.26,22.01,22.54,0.10000000000000142
2019-06-25 00:20:00,21.72,22.25,22.0565,22.54,0.5300000000000011
2019-06-25 00:30:00,22.1,22.25,22.1,22.51,0.14999999999999858
2019-06-25 00:40:00,22.56,22.22,21.9206,22.45,0.33999999999999986
2019-06-25 00:50:00,22.51,22.22,21.623749999999998,22.45,0.2900000000000027
2019-06-25 01:00:00,22.31,22.19,21.63075,22.502750000000002,0.11999999999999744
2019-06-25 01:10:00,22.1,22.16,21.79,22.44,0.05999999999999872
2019-06-25 01:20:00,21.97,21.98,21.823,22.267,0.010000000000001563
2019-06-25 01:30:00,21.75,21.89,21.71,21.9683,0.14000000000000057
2019-06-25 01:40:00,21.68,21.76,21.55155,22.14,0.08000000000000185
2019-06-25 01:50:00,21.62,21.62,21.39,21.77,0.0
2019-06-25 02:00:00,21.46,21.41,21.26,21.518,0.05000000000000071
2019-06-25 02:10:00,21.42,21.31,21.1472,21.55,0.11000000000000298
2019-06-25 02:20:00,21.13,21.18,21.03,21.407,0.05000000000000071
2019-06-25 02:30:00,20.93,21.1,20.93,21.3984,0.1700000000000017
2019-06-25 02:40:00,20.89,20.96,20.6876,21.17,0.07000000000000028
2019-06-25 02:50:00,20.9,20.825,20.6,21.03,0.07499999999999929
2019-06-25 03:00:00,20.73,20.69,20.52,21.04,0.03999999999999915
2019-06-25 03:10:00,20.6,20.57,20.39,20.69,0.030000000000001137
2019-06-25 03:20:00,20.35,20.44,20.31,20.7261,0.08999999999999986
2019-06-25 03:30:00,20.26,20.4,20.16,20.56,0.13999999999999702
2019-06-25 03:40:00,20.5,20.24,20.04,20.50925,0.26000000000000156
2019-06-25 03:50:00,20.25,20.075,19.88,20.27,0.1750000000000007
2019-06-25 04:00:00,19.98,19.97,19.8015,20.26,0.010000000000001563
2019-06-25 04:10:00,19.67,19.77,19.59,20.29,0.09999999999999787
2019-06-25 04:20:00,19.64,19.635,19.5027,19.88,0.004999999999999005
2019-06-25 04:30:00,19.22,19.43,19.26,19.49,0.21000000000000085
2019-06-25 04:40:00,19.32,19.27,19.04,19.44,0.05000000000000071
2019-06-25 04:50:00,19.09,19.06,18.701,19.16,0.030000000000001137
2019-06-25 05:00:00,18.86,18.82,18.36,19.13,0.03999999999999915
2019-06-25 05:10:00,18.55,18.66,18.36,19.005300000000002,0.10999999999999943
2019-06-25 05:20:00,18.48,18.64,18.39,19.02,0.16000000000000014
2019-06-25 05:30:00,18.23,18.47,18.16,18.685100000000002,0.23999999999999844
2019-06-25 05:40:00,18.45,18.47,18.21,19.02,0.019999999999999574
2019-06-25 05:50:00,18.44,18.5,18.16,19.02,0.05999999999999872
2019-06-25 06:00:00,18.55,18.57,18.372500000000002,19.02,0.019999999999999574
2019-06-25 06:10:00,18.61,18.6,18.36,18.806549999999998,0.00999999999999801
2019-06-25 06:20:00,18.81,18.74,18.3645,18.84,0.07000000000000028
2019-06-25 06:30:00,19.02,18.94,18.79,19.1176,0.0799999999999983
2019-06-25 06:40:00,19.2,19.24,19.0115,19.4385,0.03999999999999915
2019-06-25 06:50:00,19.13,19.29,19.09,19.57,0.16000000000000014
2019-06-25 07:00:00,19.72,19.61,19.252,19.88,0.10999999999999943
2019-06-25 07:10:00,19.89,19.95,19.678,20.189,0.05999999999999872
2019-06-25 07:20:00,19.98,20.27,19.87,20.6256,0.28999999999999915
2019-06-25 07:30:00,20.42,20.555,20.0489,20.84,0.134999999999998
2019-06-25 07:40:00,21.38,21.1,20.83,21.37,0.2799999999999976
2019-06-25 07:50:00,21.75,21.485,21.2313,22.167,0.26500000000000057
2019-06-25 08:00:00,21.3,21.94,21.65,22.56375,0.6400000000000006
2019-06-25 08:10:00,22.66,22.29,21.95,22.73,0.370000000000001
2019-06-25 08:20:00,23.24,22.69,22.34,23.09,0.5499999999999972
2019-06-25 08:30:00,23.24,22.834999999999997,22.48,23.34,0.40500000000000114
2019-06-25 08:40:00,22.7,23.075,22.73,23.6217,0.375
2019-06-25 08:50:00,24.01,23.49,22.83,23.97,0.5200000000000031
2019-06-25 09:00:00,22.94,23.6,23.2639,24.15,0.6600000000000001
2019-06-25 09:10:00,23.33,23.82,23.4654,24.461,0.490000000000002
2019-06-25 09:20:00,24.01,23.91,23.6815,24.2085,0.10000000000000142
2019-06-25 09:30:00,25.19,24.025,23.62,24.76,1.1650000000000027
2019-06-25 09:40:00,24.03,24.14,23.88,25.06,0.10999999999999943
2019-06-25 09:50:00,24.28,24.755,23.97,25.2475,0.47499999999999787
2019-06-25 10:00:00,24.37,24.995,24.55,25.71,0.625
2019-06-25 10:10:00,25.19,24.99,24.4,25.524150000000002,0.20000000000000284
2019-06-25 10:20:00,25.66,25.71,25.21,26.2581,0.05000000000000071
2019-06-25 10:30:00,26.3,25.98,25.49,26.8154,0.3200000000000003
2019-06-25 10:40:00,26.21,26.31,25.63,26.9192,0.09999999999999787
2019-06-25 10:50:00,26.76,26.52,26.14085,27.0183,0.240000000000002
2019-06-25 11:00:00,27.02,27.0,26.48,27.64,0.019999999999999574
2019-06-25 11:10:00,26.87,27.069999999999997,26.53,27.64,0.19999999999999574
2019-06-25 11:20:00,27.2,27.395,26.6464,28.03,0.19500000000000028
2019-06-25 11:30:00,27.95,27.79,26.99,28.18,0.16000000000000014
2019-06-25 11:40:00,27.35,27.99,27.49,28.802049999999998,0.639999999999997
2019-06-25 11:50:00,28.39,28.635,27.64,29.26,0.245000000000001
2019-06-25 12:00:00,29.12,28.59,28.032500000000002,29.17,0.5300000000000011
2019-06-25 12:10:00,29.22,28.97,28.1185,30.06,0.25
2019-06-25 12:20:00,29.41,29.299999999999997,28.66,29.73,0.11000000000000298
2019-06-25 12:30:00,29.08,29.689999999999998,29.06,30.27,0.6099999999999994
2019-06-25 12:40:00,29.56,29.84,29.27,30.2384,0.28000000000000114
2019-06-25 12:50:00,30.74,30.045,29.51,30.96,0.6949999999999967
2019-06-25 13:00:00,30.28,30.17,29.71,30.961,0.10999999999999943
2019-06-25 13:10:00,29.69,30.27,29.538,31.36,0.5799999999999983
2019-06-25 13:20:00,30.87,30.66,29.9214,31.467799999999997,0.21000000000000085
2019-06-25 13:30:00,30.61,30.97,30.1652,32.68,0.35999999999999943
2019-06-25 13:40:00,30.88,31.18,30.1066,31.72,0.3000000000000007
2019-06-25 13:50:00,31.29,31.92,30.79,32.88,0.6300000000000026
2019-06-25 14:00:00,31.97,31.77,30.8444,32.4678,0.1999999999999993
2019-06-25 14:10:00,32.74,32.38,31.69,32.97,0.35999999999999943
2019-06-25 14:20:00,32.07,32.5,31.929450000000003,33.0565,0.4299999999999997
2019-06-25 14:30:00,32.74,32.94,32.16945,33.76,0.19999999999999574
2019-06-25 14:40:00,33.93,33.215,32.3966,33.87,0.7149999999999963
2019-06-25 14:50:00,32.77,33.045,32.08,34.32,0.2749999999999986
2019-06-25 15:00:00,32.97,33.41,32.7026,33.92,0.4399999999999977
2019-06-25 15:10:00,33.26,33.59,32.5663,34.48415,0.3300000000000054
2019-06-25 15:20:00,33.15,33.47,32.5,34.38,0.3200000000000003
2019-06-25 15:30:00,34.01,33.42,32.775400000000005,34.4928,0.5899999999999963
2019-06-25 15:40:00,33.99,33.75,33.32,34.5728,0.240000000000002
2019-06-25 15:50:00,34.23,33.915,33.31,34.68579999999999,0.3149999999999977
2019-06-25 16:00:00,34.03,34.35,33.839,35.27,0.3200000000000003
2019-06-25 16:10:00,34.37,34.375,33.9417,35.261500000000005,0.005000000000002558
2019-06-25 16:20:00,34.28,34.62,34.160999999999994,35.14999999999999,0.3399999999999963
2019-06-25 16:30:00,34.75,34.64,34.11,35.3,0.10999999999999943
2019-06-25 16:40:00,34.44,34.72,34.12,35.3,0.28000000000000114
2019-06-25 16:50:00,34.81,34.97,34.19,35.460550000000005,0.1599999999999966
2019-06-25 17:00:00,34.8,35.16,34.22,35.8446,0.35999999999999943
2019-06-25 17:10:00,34.99,35.115,34.5219,35.6862,0.125
2019-06-25 17:20:00,35.59,35.254999999999995,34.870999999999995,36.16,0.33500000000000796
2019-06-25 17:30:00,35.98,35.27,34.64725,36.16,0.7099999999999937
2019-06-25 17:40:00,35.16,35.21,34.69,36.16,0.05000000000000426
2019-06-25 17:50:00,34.84,35.075,33.65,35.87,0.23499999999999943
2019-06-25 18:00:00,34.96,34.92,33.97325,35.6,0.03999999999999915
2019-06-25 18:10:00,34.35,34.35,33.85575,35.3,0.0
2019-06-25 18:20:00,34.11,34.265,33.6844,34.8689,0.15500000000000114
2019-06-25 18:30:00,34.15,34.34,33.4628,35.27,0.19000000000000483
2019-06-25 18:40:00,34.3,34.09,33.4342,34.69,0.20999999999999375
2019-06-25 18:50:00,34.13,33.665,32.8729,34.555200000000006,0.4650000000000034
2019-06-25 19:00:00,33.32,33.57,32.91,34.38,0.25
2019-06-25 19:10:00,33.12,33.02,32.581849999999996,33.87,0.09999999999999432
2019-06-25 19:20:00,32.6,32.735,31.63,33.545,0.134999999999998
2019-06-25 19:30:00,32.18,32.345000000000006,32.0727,33.127599999999994,0.16500000000000625
2019-06-25 19:40:00,31.89,31.85,31.05,32.38,0.03999999999999915
2019-06-25 19:50:00,31.6,31.435,30.47,31.972599999999996,0.1650000000000027
2019-06-25 20:00:00,31.19,31.265,30.727249999999998,31.92,0.07499999999999929
2019-06-25 20:10:00,30.77,30.78,29.889100000000003,31.67,0.010000000000001563
2019-06-25 20:20:00,30.44,30.45,29.9525,30.865,0.00999999999999801
2019-06-25 20:30:00,30.16,30.005,28.87475,30.63,0.15500000000000114
2019-06-25 20:40:00,29.72,29.73,29.06,29.95925,0.010000000000001563
2019-06-25 20:50:00,29.28,29.26,28.79665,29.87,0.019999999999999574
2019-06-25 21:00:00,28.9,28.74,28.357,29.130999999999997,0.16000000000000014
2019-06-25 21:10:00,28.47,28.175,27.75,28.48,0.29499999999999815
2019-06-25 21:20:00,27.81,27.58,27.32,28.14,0.23000000000000043
2019-06-25 21:30:00,26.96,26.9,26.74,27.1,0.060000000000002274
