Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:00:00,21.74,21.8,21.65,22.0494,0.060000000000002274
2019-06-25 00:10:00,21.56,21.77,21.49,21.91,0.21000000000000085
2019-06-25 00:20:00,22.03,21.67,21.4152,21.88,0.35999999999999943
2019-06-25 00:30:00,21.88,21.71,21.46,21.88,0.16999999999999815
2019-06-25 00:40:00,21.39,21.67,21.46,21.86,0.28000000000000114
2019-06-25 00:50:00,21.57,21.66,21.46,21.8,0.08999999999999986
2019-06-25 01:00:00,21.71,21.58,21.41,21.81,0.13000000000000256
2019-06-25 01:10:00,21.74,21.41,21.19,21.6532,0.3299999999999983
2019-06-25 01:20:00,21.29,21.4,21.1817,21.58,0.10999999999999943
2019-06-25 01:30:00,21.28,21.4,21.23,21.57,0.11999999999999744
2019-06-25 01:40:00,21.49,21.31,21.21,21.60775,0.17999999999999972
2019-06-25 01:50:00,21.26,21.17,20.98,21.455699999999993,0.08999999999999986
2019-06-25 02:00:00,21.16,21.02,20.8816,21.2636,0.14000000000000057
2019-06-25 02:10:00,21.1,20.98,20.83,21.91,0.120000000000001
2019-06-25 02:20:00,20.86,20.76,20.6,21.01,0.09999999999999787
2019-06-25 02:30:00,20.58,20.56,20.38,20.76,0.019999999999999574
2019-06-25 02:40:00,20.58,20.52,20.2516,20.69,0.05999999999999872
2019-06-25 02:50:00,20.03,20.27,19.87,20.36,0.23999999999999844
2019-06-25 03:00:00,19.67,20.14,19.75,20.36,0.46999999999999886
2019-06-25 03:10:00,20.15,20.02,19.82,20.31,0.129999999999999
2019-06-25 03:20:00,20.29,19.91,19.7118,20.04,0.379999999999999
2019-06-25 03:30:00,20.02,19.68,19.4914,19.8693,0.33999999999999986
2019-06-25 03:40:00,19.56,19.655,19.451,19.86,0.09500000000000242
2019-06-25 03:50:00,19.18,19.48,19.33,19.56,0.3000000000000007
2019-06-25 04:00:00,19.19,19.259999999999998,19.15,19.49,0.06999999999999673
2019-06-25 04:10:00,19.09,19.205000000000002,18.9924,19.37,0.11500000000000199
2019-06-25 04:20:00,19.06,19.03,18.86,19.16,0.029999999999997584
2019-06-25 04:30:00,18.96,18.99,18.83,19.31,0.029999999999997584
2019-06-25 04:40:00,19.13,18.86,18.65,19.06915,0.2699999999999996
2019-06-25 04:50:00,18.61,18.71,18.54025,19.1,0.10000000000000142
2019-06-25 05:00:00,18.54,18.58,18.41,18.86,0.03999999999999915
2019-06-25 05:10:00,18.47,18.49,18.16,18.6673,0.019999999999999574
2019-06-25 05:20:00,18.3,18.38,18.22,18.67,0.0799999999999983
2019-06-25 05:30:00,18.33,18.23,18.11,18.29,0.09999999999999787
2019-06-25 05:40:00,18.17,18.15,18.05,18.4815,0.020000000000003126
