Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,20.86,21.025,20.85,21.127499999999998,0.16499999999999915
2019-06-25 00:15:00,20.79,21.03,20.806250000000002,21.17,0.240000000000002
2019-06-25 00:25:00,21.32,21.05,20.91,21.21,0.2699999999999996
2019-06-25 00:35:00,20.82,21.04,20.85105,21.19,0.21999999999999886
2019-06-25 00:45:00,20.86,21.175,20.96,21.46675,0.3150000000000013
2019-06-25 00:55:00,21.25,21.13,21.03,21.31,0.120000000000001
2019-06-25 01:05:00,21.72,21.12,20.99,21.26915,0.5999999999999979
2019-06-25 01:15:00,21.4,21.055,20.91,21.21,0.34499999999999886
2019-06-25 01:25:00,20.9,20.885,20.65,21.03,0.014999999999997016
2019-06-25 01:35:00,20.73,20.67,20.53,20.8293,0.05999999999999872
2019-06-25 01:45:00,20.31,20.494999999999997,20.31,20.6285,0.18499999999999872
2019-06-25 01:55:00,19.85,20.19,19.97,20.36,0.33999999999999986
2019-06-25 02:05:00,20.27,20.05,19.88,20.27,0.21999999999999886
2019-06-25 02:15:00,20.09,20.009999999999998,19.74,20.18,0.08000000000000185
2019-06-25 02:25:00,19.77,19.69,19.6,20.02,0.0799999999999983
2019-06-25 02:35:00,19.68,19.69,19.6,20.02,0.010000000000001563
2019-06-25 02:45:00,19.49,19.68,19.53,20.02,0.19000000000000128
2019-06-25 02:55:00,19.3,19.56,19.45,19.7,0.259999999999998
2019-06-25 03:05:00,19.86,19.63,19.45,19.86,0.23000000000000043
2019-06-25 03:15:00,19.76,19.6,19.35075,19.86,0.16000000000000014
2019-06-25 03:25:00,19.44,19.56,19.4512,19.7,0.11999999999999744
2019-06-25 03:35:00,19.77,19.59,19.49,19.8388,0.17999999999999972
2019-06-25 03:45:00,19.65,19.52,19.18,19.65,0.129999999999999
2019-06-25 03:55:00,19.33,19.41,19.18,19.59,0.08000000000000185
2019-06-25 04:05:00,19.3,19.36,19.18,19.49,0.05999999999999872
2019-06-25 04:15:00,19.4,19.17,18.970399999999998,19.409,0.22999999999999687
2019-06-25 04:25:00,19.22,19.14,18.92,19.27,0.0799999999999983
2019-06-25 04:35:00,18.67,19.0,18.79,19.16,0.3299999999999983
2019-06-25 04:45:00,18.92,18.825,18.65,19.13,0.09500000000000242
2019-06-25 04:55:00,19.1,18.75,18.61,18.99,0.3500000000000014
