Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,22.48,22.505000000000003,22.343,22.74,0.02500000000000213
2019-06-25 00:15:00,22.35,22.5,22.1636,22.6064,0.14999999999999858
2019-06-25 00:25:00,22.25,22.32,22.12,22.48,0.07000000000000028
2019-06-25 00:35:00,22.17,22.244999999999997,22.09,22.5048,0.07499999999999574
2019-06-25 00:45:00,22.45,22.175,21.891199999999998,22.51,0.2749999999999986
2019-06-25 00:55:00,22.2,22.1,21.91,22.4,0.09999999999999787
2019-06-25 01:05:00,22.0,22.125,21.882849999999998,22.32,0.125
2019-06-25 01:15:00,21.9,21.86,21.79925,22.19,0.03999999999999915
2019-06-25 01:25:00,21.84,21.82,21.65185,22.46785,0.019999999999999574
2019-06-25 01:35:00,21.77,21.76,21.55,21.8,0.00999999999999801
2019-06-25 01:45:00,21.7,21.62,21.38,21.8,0.0799999999999983
2019-06-25 01:55:00,21.45,21.47,21.19,21.7384,0.019999999999999574
2019-06-25 02:05:00,21.37,21.335,21.25,21.6782,0.03500000000000014
2019-06-25 02:15:00,21.23,21.15,20.98,21.41545,0.08000000000000185
2019-06-25 02:25:00,21.07,21.09,20.94,21.72,0.019999999999999574
2019-06-25 02:35:00,20.91,21.03,20.82,21.13,0.120000000000001
2019-06-25 02:45:00,20.88,20.91,20.65,21.0461,0.030000000000001137
2019-06-25 02:55:00,20.77,20.78,20.59,20.85,0.010000000000001563
2019-06-25 03:05:00,20.58,20.6,20.38,20.69,0.020000000000003126
2019-06-25 03:15:00,20.44,20.39,20.31,20.694799999999997,0.05000000000000071
2019-06-25 03:25:00,20.44,20.37,20.26,20.56,0.07000000000000028
2019-06-25 03:35:00,20.27,20.299999999999997,20.09,20.52,0.029999999999997584
2019-06-25 03:45:00,20.16,20.24,20.0744,20.3756,0.0799999999999983
2019-06-25 03:55:00,20.14,20.16,19.9916,20.37,0.019999999999999574
2019-06-25 04:05:00,20.1,20.07,19.82,20.246499999999997,0.030000000000001137
2019-06-25 04:15:00,19.9,19.95,19.83,20.08,0.05000000000000071
2019-06-25 04:25:00,19.94,19.95,19.83,20.1497,0.00999999999999801
2019-06-25 04:35:00,19.9,19.94,19.77,20.18,0.0400000000000027
