Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,22.79,22.9,22.53,23.06,0.10999999999999943
2019-06-25 00:15:00,22.49,22.74,22.4836,23.03,0.25
2019-06-25 00:25:00,22.65,22.51,22.05,22.78,0.13999999999999702
2019-06-25 00:35:00,22.35,22.32,22.0823,22.71735,0.030000000000001137
2019-06-25 00:45:00,22.39,22.2,21.884700000000002,22.55,0.19000000000000128
2019-06-25 00:55:00,22.07,22.04,21.75,22.3,0.030000000000001137
2019-06-25 01:05:00,21.81,21.835,21.6615,22.09475,0.02500000000000213
2019-06-25 01:15:00,21.81,21.81,21.4,22.028750000000002,0.0
2019-06-25 01:25:00,21.4,21.53,21.37,21.81,0.13000000000000256
2019-06-25 01:35:00,21.3,21.37,21.2124,21.641999999999996,0.07000000000000028
2019-06-25 01:45:00,21.26,21.32,21.01,21.61,0.05999999999999872
2019-06-25 01:55:00,21.06,21.1,20.92165,21.35,0.0400000000000027
2019-06-25 02:05:00,21.1,21.03,20.64,21.63,0.07000000000000028
2019-06-25 02:15:00,20.99,20.89,20.6601,21.1,0.09999999999999787
2019-06-25 02:25:00,20.86,20.74,20.488,21.03,0.120000000000001
2019-06-25 02:35:00,20.74,20.74,20.54,20.95,0.0
2019-06-25 02:45:00,20.59,20.61,20.26,20.81,0.019999999999999574
2019-06-25 02:55:00,20.44,20.53,20.33,20.81,0.08999999999999986
2019-06-25 03:05:00,20.31,20.42,20.25,20.55,0.11000000000000298
2019-06-25 03:15:00,20.27,20.305,20.13,20.49,0.03500000000000014
2019-06-25 03:25:00,20.4,20.26,19.98,20.5,0.13999999999999702
2019-06-25 03:35:00,20.27,20.07,19.88,20.37,0.1999999999999993
2019-06-25 03:45:00,20.14,20.045,19.83,20.3,0.09499999999999886
2019-06-25 03:55:00,19.77,20.025000000000002,19.83,20.26,0.25500000000000256
2019-06-25 04:05:00,19.79,19.855,19.6937,20.09,0.06500000000000128
2019-06-25 04:15:00,19.77,19.79,19.66025,20.03,0.019999999999999574
2019-06-25 04:25:00,19.77,19.65,19.5033,19.87,0.120000000000001
2019-06-25 04:35:00,19.72,19.65,19.441100000000002,19.85,0.07000000000000028
2019-06-25 04:45:00,19.62,19.52,19.29,19.79925,0.10000000000000142
2019-06-25 04:55:00,19.42,19.65,19.11615,19.7883,0.22999999999999687
2019-06-25 05:05:00,19.29,19.43,19.07,19.53,0.14000000000000057
2019-06-25 05:15:00,19.17,19.44,19.0908,19.44,0.2699999999999996
2019-06-25 05:25:00,19.18,19.28,19.09,19.45,0.10000000000000142
2019-06-25 05:35:00,19.12,19.21,19.03,19.45,0.08999999999999986
2019-06-25 05:45:00,18.97,19.154999999999998,18.833,19.48,0.18499999999999872
2019-06-25 05:55:00,19.08,19.075,18.82,19.48,0.004999999999999005
2019-06-25 06:05:00,19.11,19.05,18.81,19.48,0.05999999999999872
2019-06-25 06:15:00,19.09,18.95,18.6918,19.48,0.14000000000000057
2019-06-25 06:25:00,19.07,18.95,18.81,19.48,0.120000000000001
2019-06-25 06:35:00,19.05,19.09,18.930699999999998,19.4493,0.03999999999999915
