Datetime,True Temperature,Predicted Temperature,2.5%,97.5%,Absolute Deviation
2019-06-25 00:05:00,21.58,21.37,21.156599999999997,21.74,0.2099999999999973
2019-06-25 00:15:00,21.38,21.335,21.27,21.65,0.04499999999999815
2019-06-25 00:25:00,21.18,21.27,21.04,21.43,0.08999999999999986
2019-06-25 00:35:00,20.99,21.16,20.9805,21.713499999999996,0.1700000000000017
2019-06-25 00:45:00,20.93,20.92,20.72825,21.13,0.00999999999999801
2019-06-25 00:55:00,20.9,20.95,20.676000000000002,21.25,0.05000000000000071
2019-06-25 01:05:00,20.82,20.89,20.66495,21.03,0.07000000000000028
2019-06-25 01:15:00,20.68,20.73,20.55,21.04,0.05000000000000071
2019-06-25 01:25:00,20.58,20.56,20.43,20.88,0.019999999999999574
2019-06-25 01:35:00,20.52,20.46,20.2516,20.6,0.05999999999999872
2019-06-25 01:45:00,20.31,20.27,20.03,20.5764,0.03999999999999915
2019-06-25 01:55:00,20.11,20.14,19.67,20.3578,0.030000000000001137
2019-06-25 02:05:00,20.0,20.08,19.8309,20.3,0.0799999999999983
2019-06-25 02:15:00,19.94,20.01,19.74045,20.26,0.07000000000000028
2019-06-25 02:25:00,19.81,19.83,19.63085,19.99915,0.019999999999999574
2019-06-25 02:35:00,19.75,19.66,19.6,20.0013,0.08999999999999986
2019-06-25 02:45:00,19.59,19.56,19.3,19.76,0.030000000000001137
2019-06-25 02:55:00,19.56,19.54,19.3405,19.875999999999998,0.019999999999999574
2019-06-25 03:05:00,19.44,19.405,19.18,19.598650000000003,0.03500000000000014
2019-06-25 03:15:00,19.36,19.25,19.09,19.488,0.10999999999999943
2019-06-25 03:25:00,19.28,19.23,19.09,19.44,0.05000000000000071
2019-06-25 03:35:00,19.08,19.16,18.97,19.27,0.08000000000000185
2019-06-25 03:45:00,18.99,18.975,18.67,19.1588,0.014999999999997016
2019-06-25 03:55:00,18.84,18.87,18.76075,19.14,0.030000000000001137
2019-06-25 04:05:00,18.88,18.86,18.36,19.13,0.019999999999999574
2019-06-25 04:15:00,18.77,18.61,18.36,18.78,0.16000000000000014
2019-06-25 04:25:00,18.63,18.55,18.36,18.68,0.0799999999999983
2019-06-25 04:35:00,18.59,18.53,18.16,19.02,0.05999999999999872
