"id_station";"gridcoord";"stationid";"CH_E";"CH_N";"altitude";"streetname";"type";"lat";"lon";"Mastnummer";"distance_building";"shadowing";"classification";"montage";"functional_check";"remarks";"stationid_new";"stationid_new2"
923;"A6";"A2EB";2678068;1250637;395;"Paul-Pflueger-Strasse";"Sensirion";47.40192;8.47285;"19";"25";"";"8(9)";"2019-06-13 14:30:00";"ok";"Verschiebung um 190m nach Nordosten (naechstmoegliche Stelle)";"EE2AA2FBA2EB";"NA"
926;"A8";"6099";2678039;1249544;414;"Dachslernstrasse";"Sensirion";47.3921;8.47227;"29";"10";"";"6";"2019-06-13 12:55:00";"ok";"Hecke ziemlich nahe unter Sensor (Foto!)";"D8F463676099";"NA"
928;"A9";"63A4";2678055;1249021;428;"Rautistrasse";"Sensirion";47.38739;8.4724;"69";"25";"";"5(6)";"2019-06-13 11:25:00";"ok";"";"EF7BDB8163A4";"NA"
931;"AWEL-Blumenfeld";"6DD1";2680581;1252968;454;"Dora-Staudinger-Strasse";"Sensirion";47.42258;8.50655;"3";"10";"";"5";"2019-06-12 14:25:00";"";"";"CE59CF126DD1";"NA"
933;"AWEL-Bucheggplatz";"A05A";2682646;1250251;472;"Bucheggstrasse";"Sensirion";47.39789;8.53341;"";"0";"Dach Haltestelle";"5";"2019-06-17 11:05:00";"";"ca. 2 m ueber Boden";"D5804FDCA05A";"NA"
935;"AWEL-Eichbuehl";"4733";2678224;1248693;443;"Girhaldenstrasse";"Sensirion";47.38442;8.47457;"16.2";"10";"";"6(9)";"2019-06-13 11:20:00";"";"";"E17EFD9B4733";"NA"
937;"AWEL-Gruenau";"AB6D";2679440;1250050;401;"unbekannt";"Sensirion";47.39648;8.49091;"";"25";"";"5";"2019-06-13 14:45:00";"";"";"FACBC32BAB6D";"NA"
939;"AWEL-Lindenhof";"280F";2683258;1247485;428;"Lindenhof";"Sensirion";47.37294;8.54101;"3";"25";"Laterne";"B(2)";"2019-07-23 16:20:00";"";"";"EE561C93280F";"EE561C000093280F"
940;"AWEL-Lindenhof";"8CDE";2683258;1247485;428;"Lindenhof";"Sensirion";47.37294;8.54101;"3";"25";"Laterne";"B(2)";"2020-02-11 09:00:00";"";"";"F1085FFEFF9A8CDE";"NA"
941;"AWEL-Oerlikerpark";"F16D";2683023;1252127;439;"Oerlikerpark";"Sensirion";47.41471;8.53876;"45";"40";"";"2(B)";"2019-06-12 11:55:00";"";"Parkanlage";"EA8E056FF16D";"NA"
943;"AWEL-Paradeplatz";"69A8";2683117;1247176;410;"Bahnhofstrasse";"Sensirion";47.37018;8.53908;"133";"5";"Laterne";"2";"2019-07-23 15:45:00";"";"";"EB53861769A8";"NA"
